design_id,temperature_K,pressure_bar,residence_time_ms,equivalence_ratio,cracking_ratio,psr_fraction,heat_loss_W_per_K,design_role
reactor_0093,750,5,20,1.2,0.5,0.5,0.0,primary_map
reactor_0094,750,10,5,1.2,0.5,0.5,0.0,primary_map
reactor_0095,750,10,10,1.2,0.5,0.5,0.0,primary_map
reactor_0096,750,10,20,1.2,0.5,0.5,0.0,primary_map
reactor_0097,750,20,5,1.2,0.5,0.5,0.0,primary_map
reactor_0098,750,20,10,1.2,0.5,0.5,0.0,primary_map
reactor_0099,750,20,20,1.2,0.5,0.5,0.0,primary_map
reactor_0100,750,5,5,0.8,0.1,0.5,0.0,primary_map
reactor_0101,750,5,10,0.8,0.1,0.5,0.0,primary_map
reactor_0102,750,5,20,0.8,0.1,0.5,0.0,primary_map
reactor_0103,750,10,5,0.8,0.1,0.5,0.0,primary_map
reactor_0104,750,10,10,0.8,0.1,0.5,0.0,primary_map
reactor_0105,750,10,20,0.8,0.1,0.5,0.0,primary_map
reactor_0106,750,20,5,0.8,0.1,0.5,0.0,primary_map
reactor_0107,750,20,10,0.8,0.1,0.5,0.0,primary_map
reactor_0108,750,20,20,0.8,0.1,0.5,0.0,primary_map
reactor_0109,750,5,5,1.2,0.1,0.5,0.0,primary_map
reactor_0110,750,5,10,1.2,0.1,0.5,0.0,primary_map
reactor_0111,750,5,20,1.2,0.1,0.5,0.0,primary_map
reactor_0112,750,10,5,1.2,0.1,0.5,0.0,primary_map
reactor_0113,750,10,10,1.2,0.1,0.5,0.0,primary_map
reactor_0114,750,10,20,1.2,0.1,0.5,0.0,primary_map
reactor_0115,750,20,5,1.2,0.1,0.5,0.0,primary_map
reactor_0116,750,20,10,1.2,0.1,0.5,0.0,primary_map
reactor_0117,750,20,20,1.2,0.1,0.5,0.0,primary_map
reactor_0118,750,5,5,0.6,0.5,0.5,0.0,primary_map
reactor_0119,750,5,10,0.6,0.5,0.5,0.0,primary_map
reactor_0120,750,5,20,0.6,0.5,0.5,0.0,primary_map
reactor_0121,750,10,5,0.6,0.5,0.5,0.0,primary_map
reactor_0122,750,10,10,0.6,0.5,0.5,0.0,primary_map
reactor_0123,750,10,20,0.6,0.5,0.5,0.0,primary_map
reactor_0124,750,20,5,0.6,0.5,0.5,0.0,primary_map
reactor_0125,750,20,10,0.6,0.5,0.5,0.0,primary_map
reactor_0126,750,20,20,0.6,0.5,0.5,0.0,primary_map
reactor_0127,750,5,5,0.8,0.3,0.5,0.0,primary_map
reactor_0128,750,5,5,0.8,0.7,0.5,0.0,primary_map
reactor_0129,750,5,5,1.4,0.5,0.5,0.0,primary_map
reactor_0130,750,5,10,0.8,0.3,0.5,0.0,primary_map
reactor_0131,750,5,10,0.8,0.7,0.5,0.0,primary_map
reactor_0132,750,5,10,1.4,0.5,0.5,0.0,primary_map
reactor_0133,750,5,20,0.8,0.3,0.5,0.0,primary_map
reactor_0134,750,5,20,0.8,0.7,0.5,0.0,primary_map
reactor_0135,750,5,20,1.4,0.5,0.5,0.0,primary_map
reactor_0136,750,10,5,0.8,0.3,0.5,0.0,primary_map
reactor_0137,750,10,5,0.8,0.7,0.5,0.0,primary_map
