source_file,status,rows,error,file_doi,rkd_format_version,record_version,first_publication_date,last_modification_date
x20100014.xml,parsed,6,,10.24388/x20100014,2.4,2.0,2023-08-03,2023-08-03
x20100018.xml,parsed,19,,10.24388/x20100018,2.4,2.0,2023-08-03,2023-08-03
x20100019.xml,parsed,14,,10.24388/x20100019,2.4,2.0,2023-08-03,2023-08-03
x20100020.xml,parsed,19,,10.24388/x20100020,2.4,2.0,2023-08-03,2023-08-03
x20100021.xml,parsed,19,,10.24388/x20100021,2.4,2.0,2023-08-03,2023-08-03
x20100022.xml,parsed,19,,10.24388/x20100022,2.4,2.0,2023-08-03,2023-08-03
x20100023.xml,parsed,15,,10.24388/x20100023,2.4,2.0,2023-08-03,2023-08-03
x20100024.xml,parsed,15,,10.24388/x20100024,2.4,2.0,2023-08-03,2023-08-03
x20100025.xml,parsed,12,,10.24388/x20100025,2.4,2.0,2023-08-03,2023-08-03
x20100026.xml,parsed,13,,10.24388/x20100026,2.4,2.0,2023-08-03,2023-08-03
x20100027.xml,parsed,12,,10.24388/x20100027,2.4,2.0,2023-08-03,2023-08-03
x20100028.xml,parsed,5,,10.24388/x20100028,2.4,2.0,2023-08-03,2023-08-03
x20100029.xml,parsed,6,,10.24388/x20100029,2.4,2.0,2023-08-03,2023-08-03
x20100030.xml,parsed,7,,10.24388/x20100030,2.4,2.0,2023-08-03,2023-08-03
x20100031.xml,parsed,7,,10.24388/x20100031,2.4,2.0,2023-08-03,2023-08-03
x20100032.xml,parsed,7,,10.24388/x20100032,2.4,2.0,2023-08-03,2023-08-03
x20100033.xml,parsed,6,,10.24388/x20100033,2.4,2.0,2023-08-03,2023-08-03
x20100034.xml,parsed,6,,10.24388/x20100034,2.4,2.0,2023-08-03,2023-08-03
x20100035.xml,parsed,7,,10.24388/x20100035,2.4,2.0,2023-08-03,2023-08-03
x20100036.xml,parsed,7,,10.24388/x20100036,2.4,2.0,2023-08-03,2023-08-03
x20100037.xml,parsed,7,,10.24388/x20100037,2.4,2.0,2023-08-03,2023-08-03
x20100038.xml,parsed,7,,10.24388/x20100038,2.4,2.0,2023-08-03,2023-08-03
x20100039.xml,parsed,7,,10.24388/x20100039,2.4,2.0,2023-08-03,2023-08-03
x20100040.xml,parsed,7,,10.24388/x20100040,2.4,2.0,2023-08-03,2023-08-03
x20100041.xml,parsed,7,,10.24388/x20100041,2.4,2.0,2023-08-03,2023-08-03
x20100042.xml,parsed,7,,10.24388/x20100042,2.4,2.0,2023-08-03,2023-08-03
x20100043.xml,parsed,7,,10.24388/x20100043,2.4,2.0,2023-08-03,2023-08-03
x20100044.xml,parsed,7,,10.24388/x20100044,2.4,2.0,2023-08-03,2023-08-03
x20100045.xml,parsed,7,,10.24388/x20100045,2.4,2.0,2023-08-03,2023-08-03
x20100046.xml,parsed,7,,10.24388/x20100046,2.4,2.0,2023-08-03,2023-08-03
x20100047.xml,parsed,7,,10.24388/x20100047,2.4,2.0,2023-08-03,2023-08-03
x20100048.xml,parsed,7,,10.24388/x20100048,2.4,2.0,2023-08-03,2023-08-03
x20100049.xml,parsed,7,,10.24388/x20100049,2.4,2.0,2023-08-03,2023-08-03
x20100050.xml,parsed,7,,10.24388/x20100050,2.4,2.0,2023-08-03,2023-08-03
x20100051.xml,parsed,7,,10.24388/x20100051,2.4,2.0,2023-08-03,2023-08-03
x20100052.xml,parsed,7,,10.24388/x20100052,2.4,2.0,2023-08-03,2023-08-03
x20100053.xml,parsed,7,,10.24388/x20100053,2.4,2.0,2023-08-03,2023-08-03
x20100054.xml,parsed,7,,10.24388/x20100054,2.4,2.0,2023-08-03,2023-08-03
x20100055.xml,parsed,7,,10.24388/x20100055,2.4,2.0,2023-08-03,2023-08-03
x20100056.xml,parsed,7,,10.24388/x20100056,2.4,2.0,2023-08-03,2023-08-03
x20100057.xml,parsed,7,,10.24388/x20100057,2.4,2.0,2023-08-03,2023-08-03
x20100058.xml,parsed,7,,10.24388/x20100058,2.4,2.0,2023-08-03,2023-08-03
x20100059.xml,parsed,7,,10.24388/x20100059,2.4,2.0,2023-08-03,2023-08-03
x20100060.xml,parsed,7,,10.24388/x20100060,2.4,2.0,2023-08-03,2023-08-03
x20100061.xml,parsed,7,,10.24388/x20100061,2.4,2.0,2023-08-03,2023-08-03
x20100062.xml,parsed,7,,10.24388/x20100062,2.4,2.0,2023-08-03,2023-08-03
x20100063.xml,parsed,1,,10.24388/x20100063,2.4,2.0,2023-08-03,2023-08-03
x20100064.xml,parsed,7,,10.24388/x20100064,2.4,2.0,2023-08-03,2023-08-03
x20100065.xml,parsed,1,,10.24388/x20100065,2.4,2.0,2023-08-03,2023-08-03
x20100066.xml,parsed,1,,10.24388/x20100066,2.4,2.0,2023-08-03,2023-08-03
x20100067.xml,parsed,4,,10.24388/x20100067,2.4,2.0,2023-08-03,2023-08-03
x20100068.xml,parsed,4,,10.24388/x20100068,2.4,2.0,2023-08-03,2023-08-03
x20100069.xml,parsed,1,,10.24388/x20100069,2.4,2.0,2023-08-03,2023-08-03
x20100070.xml,parsed,8,,10.24388/x20100070,2.4,2.0,2023-08-03,2023-08-03
x20100071.xml,parsed,6,,10.24388/x20100071,2.4,2.0,2023-08-03,2023-08-03
x20100072.xml,parsed,8,,10.24388/x20100072,2.4,2.0,2023-08-03,2023-08-03
x20100073.xml,parsed,7,,10.24388/x20100073,2.4,2.0,2023-08-03,2023-08-03
x20100074.xml,parsed,4,,10.24388/x20100074,2.4,2.0,2023-08-03,2023-08-03
x20100075.xml,parsed,4,,10.24388/x20100075,2.4,2.0,2023-08-03,2023-08-03
x20100076.xml,parsed,8,,10.24388/x20100076,2.4,2.0,2023-08-03,2023-08-03
x20100077.xml,parsed,6,,10.24388/x20100077,2.4,2.0,2023-08-03,2023-08-03
x20100078.xml,parsed,3,,10.24388/x20100078,2.4,2.0,2023-08-03,2023-08-03
x20100079.xml,parsed,11,,10.24388/x20100079,2.4,2.0,2023-08-03,2023-08-03
x20100080.xml,parsed,3,,10.24388/x20100080,2.4,2.0,2023-08-03,2023-08-03
x20100081.xml,parsed,3,,10.24388/x20100081,2.4,2.0,2023-08-03,2023-08-03
x20100082.xml,parsed,9,,10.24388/x20100082,2.4,2.0,2023-08-03,2023-08-03
x20101000.xml,parsed,44,,10.24388/x20101000,2.4,2.0,2023-03-13,2023-03-13
x20101001.xml,parsed,14,,10.24388/x20101001,2.4,2.0,2023-03-13,2023-03-13
x20101002.xml,parsed,19,,10.24388/x20101002,2.4,2.0,2023-03-13,2023-03-13
x20101003.xml,parsed,19,,10.24388/x20101003,2.4,2.0,2023-03-13,2023-03-13
x20101004.xml,parsed,21,,10.24388/x20101004,2.4,2.0,2023-03-13,2023-03-13
x20101005.xml,parsed,42,,10.24388/x20101005,2.4,2.0,2023-03-13,2023-03-13
x20101006.xml,parsed,12,,10.24388/x20101006,2.4,2.0,2023-03-13,2023-03-13
x20101007.xml,parsed,19,,10.24388/x20101007,2.4,2.0,2023-03-13,2023-03-13
x20101008.xml,parsed,19,,10.24388/x20101008,2.4,2.0,2023-03-13,2023-03-13
x20101009.xml,parsed,29,,10.24388/x20101009,2.4,2.0,2023-03-13,2023-03-13
