design_id,design_role,temperature_K,pressure_bar,equivalence_ratio,cracking_ratio,inside_all_idt_convex_hull,inside_exact_criterion_convex_hull
map_0131,training,1600,10,1.4,0.1,True,False
map_0132,training,1600,20,0.6,0.0,True,False
map_0133,training,1600,20,1.2,0.1,True,False
map_0134,training,1600,20,1.4,0.2,True,False
map_0135,training,1800,5,0.6,0.1,True,False
map_0136,training,1800,5,0.8,0.1,True,False
map_0137,training,1800,5,1.0,0.1,True,False
map_0138,training,1800,5,1.2,0.1,True,False
map_0139,training,1800,5,1.4,0.0,True,False
map_0140,training,1800,20,0.6,0.1,True,False
map_0141,training,1800,20,1.4,0.1,True,False
map_0142,training,1600,10,1.0,0.3,True,False
map_0143,training,1200,5,1.0,0.3,True,False
map_0144,training,1200,5,1.0,0.5,True,False
map_0145,training,1200,5,0.9,0.3,False,False
map_0146,training,1800,1,1.4,0.7,False,False
map_0147,training,1800,20,1.4,0.5,False,False
map_0148,training,1800,20,0.6,0.7,False,False
map_0149,training,850,20,1.4,0.7,False,False
map_0150,training,1600,1,1.4,0.0,False,False
map_0151,training,1800,1,0.6,0.0,False,False
map_0152,training,850,1,1.3,0.7,False,False
map_0153,training,1800,1,0.6,0.7,False,False
map_0154,training,850,20,1.4,0.0,False,False
map_0155,training,850,20,0.6,0.7,False,False
map_0156,training,950,1,0.6,0.7,False,False
map_0157,training,850,1,0.6,0.0,False,False
map_0158,training,850,20,0.6,0.0,False,False
map_0159,training,850,1,1.3,0.1,False,False
map_0160,training,1800,20,0.9,0.2,False,False
map_0161,training,1400,5,1.2,0.7,False,False
map_0162,training,1600,1,1.0,0.4,False,False
map_0163,training,1400,10,1.2,0.0,False,False
map_0164,training,1050,5,1.4,0.3,False,False
map_0165,training,1800,5,0.6,0.4,False,False
map_0166,training,850,5,1.0,0.7,False,False
map_0167,training,1400,10,0.6,0.0,False,False
map_0168,training,850,20,1.0,0.4,False,False
map_0169,training,1400,5,0.7,0.7,False,False
map_0170,training,1400,20,0.6,0.4,False,False
map_0171,training,850,5,1.1,0.0,False,False
map_0172,training,1800,5,1.1,0.4,False,False
map_0173,training,950,1,0.9,0.3,False,False
map_0174,training,1200,1,1.4,0.4,False,False
map_0175,training,1400,20,1.1,0.4,False,False
map_0176,training,1400,1,0.9,0.0,False,False
map_0177,training,1400,1,0.6,0.3,False,False
map_0178,training,850,5,0.6,0.4,False,False
map_0179,training,1200,1,1.0,0.7,False,False
map_0180,training,1200,20,0.9,0.7,False,False
map_0181,training,1400,20,1.4,0.7,False,False
map_0182,training,1200,20,0.9,0.1,False,False
map_0183,training,1800,10,1.0,0.7,False,False
map_0184,training,950,5,0.7,0.05,False,False
map_0185,training,1800,5,1.4,0.7,False,False
map_0186,training,1800,1,1.4,0.3,False,False
map_0187,training,1050,20,1.4,0.4,False,False
map_0188,training,1800,1,1.0,0.7,False,False
map_0189,training,950,5,1.4,0.7,False,False
map_0190,training,1800,1,1.0,0.1,False,False
map_0191,training,850,5,1.1,0.4,False,False
