design_id,design_role,pressure_bar,equivalence_ratio,cracking_ratio,flame_temperature_K,temperature_K,ignition_temperature_K,residence_time_ms,psr_fraction,heat_loss_W_per_K,inside_lbv_convex_hull,inside_all_idt_convex_hull,inside_exact_criterion_convex_hull
screen_0049,surrogate_screening,5,1.2,0.0,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False
screen_0050,surrogate_screening,5,1.2,0.05,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False
screen_0051,surrogate_screening,5,1.2,0.1,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False
screen_0052,surrogate_screening,5,1.2,0.2,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False
screen_0053,surrogate_screening,5,1.2,0.3,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False
screen_0054,surrogate_screening,5,1.2,0.4,300.0,600.0,1200.0,10.0,0.5,0.0,True,True,False
screen_0055,surrogate_screening,5,1.2,0.5,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False
screen_0056,surrogate_screening,5,1.2,0.7,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False
screen_0057,surrogate_screening,5,1.3,0.0,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False
screen_0058,surrogate_screening,5,1.3,0.05,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False
screen_0059,surrogate_screening,5,1.3,0.1,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False
screen_0060,surrogate_screening,5,1.3,0.2,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False
screen_0061,surrogate_screening,5,1.3,0.3,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False
screen_0062,surrogate_screening,5,1.3,0.4,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False
screen_0063,surrogate_screening,5,1.3,0.5,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False
screen_0064,surrogate_screening,5,1.3,0.7,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False
screen_0065,surrogate_screening,5,1.4,0.0,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False
screen_0066,surrogate_screening,5,1.4,0.05,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False
screen_0067,surrogate_screening,5,1.4,0.1,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False
screen_0068,surrogate_screening,5,1.4,0.2,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False
screen_0069,surrogate_screening,5,1.4,0.3,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False
screen_0070,surrogate_screening,5,1.4,0.4,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False
screen_0071,surrogate_screening,5,1.4,0.5,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False
