held_out_campaign,best_single_name,stacking_success,weight_C3_v3_5_C0,weight_Konnov_2026,weight_MEI_2019,weight_MEI_2021,weight_NUIG_2024,weight_Otomo_2018,weight_POLIMI_2023,weight_RMG_2026_Burke
campaign_6f2c5118f885,MEI_2021,True,2.974609305439165e-16,0.0,0.0,0.8952010551942079,0.0,0.1047989448057918,3.7775808244648916e-17,9.527539782290397e-18
campaign_11f336e77db5,MEI_2021,True,2.1954590183704826e-16,0.0,2.1109310940555662e-17,0.8483970607064724,0.0,0.15160293929352747,0.0,0.0
campaign_b5091ed74b6b,MEI_2021,True,0.0,1.7543278000895006e-16,0.0,0.8887759596875456,5.99696532484358e-17,0.11122404031245389,9.964197412686367e-18,2.5888008206947755e-16
campaign_bc661b9f179a,MEI_2021,True,7.735848603465234e-18,3.388132243252332e-17,0.0,0.9009881415347017,7.012915056633453e-17,0.09901185846529821,4.1731920576450555e-17,0.0
campaign_aacd4964efeb,MEI_2021,True,7.183574949560213e-17,0.0,0.0,0.8938387646606556,0.0,0.10616123533934417,7.60824727461414e-17,0.0
campaign_b661f10f22f4,MEI_2021,True,9.042275222281763e-17,1.1672631556691247e-16,4.3859662271228573e-17,0.8797737312514035,0.0,0.1202262687485963,0.0,4.2235710260093757e-17
campaign_b61f71c9265e,MEI_2021,True,2.8659240096633716e-16,0.0,1.4681239202176622e-16,0.8393277340014372,1.6555931157154187e-16,0.16067226599856216,0.0,2.7756678331891185e-18
campaign_629a30b39091,MEI_2021,True,0.0,3.98993672589145e-17,0.0,0.882888154712992,0.0,0.11711184528700805,3.993852789394346e-17,0.0
campaign_c05311ec8444,MEI_2021,True,2.953039383667102e-16,0.0,1.0722968709706276e-16,0.9999999999999998,1.813511950727765e-17,0.0,0.0,4.055325558669512e-17
campaign_16f8038c5740,MEI_2021,True,1.3701638677713992e-16,0.0,4.1468919357983533e-17,0.9530972618275648,8.962976038425642e-17,0.04690273817243501,6.682744521893164e-18,0.0
campaign_9268c5c9de04,MEI_2021,True,0.0,1.3412587358674736e-16,0.0,0.7457665822959317,1.6878614524978423e-17,0.2542334177040682,0.0,0.0
campaign_ccb03cfde00c,MEI_2021,True,1.698638702023734e-16,6.06571227139797e-17,1.8776725476069524e-16,0.9627729488972289,0.0,0.03722705110277046,0.0,2.3392534218334856e-16
campaign_0ddb81cb8c2a,MEI_2021,True,3.341827657366263e-17,1.2867314400829192e-17,0.0,0.8835455824104501,6.252187022450718e-17,0.11645441758954969,8.200301953386993e-17,0.0
campaign_a1e35abfc26f,MEI_2021,True,0.0,3.769556146736201e-17,0.0,0.903463508799767,3.4113294108589574e-17,0.096536491200233,0.0,3.99227927829588e-17
