method,n,campaigns,mean_absolute_relative_error,cluster_bootstrap_95_low,cluster_bootstrap_95_high,root_mean_squared_relative_error,mean_signed_relative_bias,median_absolute_relative_error
stacked,68,14,0.15473815699124643,0.10618126413853225,0.21327844997154666,0.241710250741295,0.036370378790199144,0.08574591875030144
equal_weight,68,14,0.1826033074772514,0.12210974874718826,0.255033317619382,0.27977543599697974,0.067413296454148,0.11847828377994289
best_single,68,14,0.15092826197953343,0.10401223911108336,0.20925514961928446,0.23816727400658655,0.042141145588744815,0.09220270361807086
