held_out_campaign,points,stacked_error,equal_weight_error,best_single_error,stacking_minus_equal_weight,stacking_minus_best_single
campaign_0ddb81cb8c2a,5,0.08701963965888265,0.09068526884937377,0.08065256670802676,-0.0036656291904911126,0.006367072950855895
campaign_11f336e77db5,5,0.12295681860953453,0.11092405535830185,0.1072469929911078,0.012032763251232675,0.015709825618426723
campaign_16f8038c5740,5,0.11376760596613981,0.09255290845926793,0.1169625857350943,0.021214697506871882,-0.003194979768954484
campaign_629a30b39091,5,0.11343957884927565,0.15321157523595233,0.10863431017180289,-0.03977199638667668,0.00480526867747276
campaign_6f2c5118f885,5,0.072633090149919,0.09335942036112362,0.07232894686606109,-0.02072633021120461,0.0003041432838579161
campaign_9268c5c9de04,4,0.39722084367372174,0.5078997454459059,0.3673793521746885,-0.11067890177218415,0.029841491499033257
campaign_a1e35abfc26f,5,0.19854756622018474,0.19216277405539622,0.19743958931868547,0.006384792164788516,0.0011079769014992746
campaign_aacd4964efeb,5,0.07180235293869316,0.1028641538125539,0.07648942053247833,-0.031061800873860734,-0.004687067593785163
campaign_b5091ed74b6b,5,0.03719809833563365,0.04154630119066125,0.03279418221444633,-0.0043482028550276,0.004403916121187325
campaign_b61f71c9265e,5,0.10399150269617832,0.1381254496899601,0.1003159842832682,-0.03413394699378178,0.0036755184129101254
campaign_b661f10f22f4,5,0.13039509242775119,0.1681241241089087,0.12523163806256035,-0.037729031681157515,0.005163454365190834
campaign_bc661b9f179a,5,0.20823874688957894,0.3006542259215167,0.2163928808286649,-0.09241547903193775,-0.008154133939085956
campaign_c05311ec8444,5,0.39573554773184494,0.4493979760497352,0.39573554773184483,-0.053662428317890254,1.1102230246251565e-16
campaign_ccb03cfde00c,4,0.16061286481909545,0.17934619030142865,0.16062029467232836,-0.018733325482333196,-7.429853232904238e-06
