design_id,dataset_id,campaign_id,doi,laboratory,apparatus,observable,value,unit,uncertainty,uncertainty_type,temperature_K,pressure_Pa,equivalence_ratio,cracking_ratio,fuel_composition,oxidizer_composition,definition,source_location,digitized,quality_status,exclusion_reason,source_file,file_doi,experiment_type,residence_time_s,time_s,reported_value,reported_unit,curator,initial_composition
lbv_0021,x20199012:gdg1:p10:laminar burning velocity,campaign_5d95bed2df87,10.1016/j.combustflame.2019.08.033,,outwardly propagating spherical flame; constant volume combustion chamber,laminar burning velocity,0.1728,m/s,0.00592,evaluated standard deviation:absolute:m/s,298.0,101325.0,1.5,0.0,"{""NH3"": 0.411765}","{""N2"": 0.382353, ""O2"": 0.205882}",Sl,"location: Main article and Supp. Mat.; table: Supp. Mat. mmc2, NH3-35%O2-65%N2, P = 1 atm; figure: Fig. 6. a) squares",False,pending_manual_review,,x20199012.xml,10.24388/x20199012,laminar burning velocity measurement,,,17.28,cm/s,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""N2"": 0.382353, ""NH3"": 0.411765, ""O2"": 0.205882}"
lbv_0023,x20199013:gdg1:p6:laminar burning velocity,campaign_5d95bed2df87,10.1016/j.combustflame.2019.08.033,,outwardly propagating spherical flame; constant volume combustion chamber,laminar burning velocity,0.2486,m/s,0.00519,evaluated standard deviation:absolute:m/s,298.0,202650.0,1.1,0.0,"{""NH3"": 0.339207}","{""N2"": 0.429515, ""O2"": 0.231278}",Sl,"location: Main article and Supp. Mat.; table: Supp. Mat. mmc2, NH3-35%O2-65%N2, P = 2 atm; figure: Fig. 6. b) squares",False,pending_manual_review,,x20199013.xml,10.24388/x20199013,laminar burning velocity measurement,,,24.86,cm/s,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""N2"": 0.429515, ""NH3"": 0.339207, ""O2"": 0.231278}"
lbv_0025,x20199014:gdg1:p1:laminar burning velocity,campaign_5d95bed2df87,10.1016/j.combustflame.2019.08.033,,outwardly propagating spherical flame; constant volume combustion chamber,laminar burning velocity,0.0707,m/s,0.005,evaluated standard deviation:absolute:m/s,298.0,506625.0,0.6,0.0,"{""NH3"": 0.21875}","{""N2"": 0.507813, ""O2"": 0.273438}",Sl,"location: Main article and Supp. Mat.; table: Supp. Mat. mmc2, NH3-35%O2-65%N2, P = 5 atm; figure: Fig. 6. c) squares",False,pending_manual_review,,x20199014.xml,10.24388/x20199014,laminar burning velocity measurement,,,7.07,cm/s,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""N2"": 0.507813, ""NH3"": 0.21875, ""O2"": 0.273438}"
lbv_0027,x20100070:gdg1:p5:laminar burning velocity,campaign_629a30b39091,10.1016/j.combustflame.2021.111753,,outwardly propagating spherical flame; constant volume combustion chamber,laminar burning velocity,0.271,m/s,0.005,evaluated standard deviation:absolute:m/s,298.0,100000.0,1.2,0.3076935784742251,"{""H2"": 0.111752, ""NH3"": 0.167627}","{""N2"": 0.56929, ""O2"": 0.15133}",Sl,"location: Main article and Supp. Mat.; table: Supp. Mat., S4, 0.1 MPa; figure: Fig. 4. a), full black squares (present study, non-linear)",False,pending_manual_review,,x20100070.xml,10.24388/x20100070,laminar burning velocity measurement,,,27.1,cm/s,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.111752, ""N2"": 0.56929, ""NH3"": 0.167627, ""O2"": 0.15133}"
lbv_0029,x20100071:gdg1:p1:laminar burning velocity,campaign_629a30b39091,10.1016/j.combustflame.2021.111753,,outwardly propagating spherical flame; constant volume combustion chamber,laminar burning velocity,0.1441,m/s,0.00714,evaluated standard deviation:absolute:m/s,298.0,500000.0,1.0,0.3076908537622621,"{""H2"": 0.097674, ""NH3"": 0.146512}","{""N2"": 0.597093, ""O2"": 0.158721}",Sl,"location: Main article and Supp. Mat.; table: Supp. Mat., S4, 0.5 MPa; figure: Fig. 4. b), full black squares (present study, non-linear)",False,pending_manual_review,,x20100071.xml,10.24388/x20100071,laminar burning velocity measurement,,,14.41,cm/s,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.097674, ""N2"": 0.597093, ""NH3"": 0.146512, ""O2"": 0.158721}"
lbv_0031,x20100004:gdg1:p1:laminar burning velocity,campaign_6f2c5118f885,10.1016/j.ijhydene.2010.07.104,,outwardly propagating spherical flame; constant volume combustion chamber,laminar burning velocity,0.962,m/s,0.05743,evaluated standard deviation:absolute:m/s,298.0,101325.0,0.6,1.0,"{""H2"": 0.201278, ""NH3"": 0.0}","{""N2"": 0.63099, ""O2"": 0.167732}",Sl,"location: Main article; figure: Fig. 2 - bottom graph, phi = 0.60",False,pending_manual_review,,x20100004.xml,10.24388/x20100004,laminar burning velocity measurement,,,96.2,cm/s,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.201278, ""N2"": 0.63099, ""NH3"": 0.0, ""O2"": 0.167732}"
lbv_0033,x20100005:gdg1:p3:laminar burning velocity,campaign_6f2c5118f885,10.1016/j.ijhydene.2010.07.104,,outwardly propagating spherical flame; constant volume combustion chamber,laminar burning velocity,1.595,m/s,0.1274,evaluated standard deviation:absolute:m/s,298.0,101325.0,1.0,0.8563219731689026,"{""H2"": 0.256918, ""NH3"": 0.028738}","{""N2"": 0.564332, ""O2"": 0.150012}",Sl,"location: Main article; figure: Fig. 2 - middle graph, phi = 1.00",False,pending_manual_review,,x20100005.xml,10.24388/x20100005,laminar burning velocity measurement,,,159.5,cm/s,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.256918, ""N2"": 0.564332, ""NH3"": 0.028738, ""O2"": 0.150012}"
lbv_0035,x20100006:gdg1:p5:laminar burning velocity,campaign_6f2c5118f885,10.1016/j.ijhydene.2010.07.104,,outwardly propagating spherical flame; constant volume combustion chamber,laminar burning velocity,0.55,m/s,0.04118,evaluated standard deviation:absolute:m/s,298.0,101325.0,1.67,0.6001856882500601,"{""H2"": 0.26181, ""NH3"": 0.11627}","{""N2"": 0.491317, ""O2"": 0.130603}",Sl,"location: Main article; figure: Fig. 2 - top graph, phi = 1.67",False,pending_manual_review,,x20100006.xml,10.24388/x20100006,laminar burning velocity measurement,,,55.0,cm/s,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.26181, ""N2"": 0.491317, ""NH3"": 0.11627, ""O2"": 0.130603}"
lbv_0037,x20199002:gdg1:p5:laminar burning velocity,campaign_9268c5c9de04,10.1016/j.fuel.2015.06.070,,outwardly propagating spherical flame; constant volume combustion chamber,laminar burning velocity,0.054,m/s,0.00653,evaluated standard deviation:absolute:m/s,298.0,100000.0,1.2,0.0,"{""NH3"": 0.251497}","{""N2"": 0.591317, ""O2"": 0.157186}",Sl,"location: Main article; figure: Main article, Fig. 8, blue circle (0.1 MPa)",False,pending_manual_review,,x20199002.xml,10.24388/x20199002,laminar burning velocity measurement,,,5.4,cm/s,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""N2"": 0.591317, ""NH3"": 0.251497, ""O2"": 0.157186}"
lbv_0039,x20199004:gdg1:p1:laminar burning velocity,campaign_9268c5c9de04,10.1016/j.fuel.2015.06.070,,outwardly propagating spherical flame; constant volume combustion chamber,laminar burning velocity,0.026,m/s,0.005,evaluated standard deviation:absolute:m/s,298.0,500000.0,0.9,0.0,"{""NH3"": 0.201278}","{""N2"": 0.63099, ""O2"": 0.167732}",Sl,"location: Main article; figure: Main article, Fig. 8, red square (0.5 MPa)",False,pending_manual_review,,x20199004.xml,10.24388/x20199004,laminar burning velocity measurement,,,2.6,cm/s,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""N2"": 0.63099, ""NH3"": 0.201278, ""O2"": 0.167732}"
lbv_0041,x20199050:gdg1:p2:laminar burning velocity,campaign_a1e35abfc26f,10.1299/transjsme.14-00423,,flame cone method; slot burner,laminar burning velocity,0.217,m/s,0.01392,evaluated standard deviation:absolute:m/s,298.0,101325.0,0.95,0.0,"{""NH3"": 0.261811}","{""N2"": 0.531496, ""O2"": 0.206693}",Sl,"location: Main article; figure: Fig. 4., omega = 0.28 (full squares)",False,pending_manual_review,,x20199050.xml,10.24388/x20199050,laminar burning velocity measurement,,,21.7,cm/s,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""N2"": 0.531496, ""NH3"": 0.261811, ""O2"": 0.206693}"
lbv_0043,x20199050:gdg1:p6:laminar burning velocity,campaign_a1e35abfc26f,10.1299/transjsme.14-00423,,flame cone method; slot burner,laminar burning velocity,0.17,m/s,0.0109,evaluated standard deviation:absolute:m/s,298.0,101325.0,1.2,0.0,"{""NH3"": 0.309392}","{""N2"": 0.497238, ""O2"": 0.19337}",Sl,"location: Main article; figure: Fig. 4., omega = 0.28 (full squares)",False,pending_manual_review,,x20199050.xml,10.24388/x20199050,laminar burning velocity measurement,,,17.0,cm/s,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""N2"": 0.497238, ""NH3"": 0.309392, ""O2"": 0.19337}"
lbv_0045,x20199051:gdg1:p1:laminar burning velocity,campaign_a1e35abfc26f,10.1299/transjsme.14-00423,,flame cone method; slot burner,laminar burning velocity,0.228,m/s,0.01431,evaluated standard deviation:absolute:m/s,298.0,101325.0,0.8,0.0,"{""NH3"": 0.242424}","{""N2"": 0.530303, ""O2"": 0.227273}",Sl,"location: Main article; figure: Fig. 4., omega = 0.30 (empty squares)",False,pending_manual_review,,x20199051.xml,10.24388/x20199051,laminar burning velocity measurement,,,22.8,cm/s,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""N2"": 0.530303, ""NH3"": 0.242424, ""O2"": 0.227273}"
lbv_0047,x20100023:gdg1:p1:laminar burning velocity,campaign_aacd4964efeb,10.1016/j.combustflame.2020.08.004,,heat flux burner; premixed,laminar burning velocity,0.239,m/s,0.00666,evaluated standard deviation:absolute:m/s,298.0,100000.0,0.6,0.5000012004023748,"{""H2"": 0.104132, ""NH3"": 0.069421}","{""N2"": 0.652893, ""O2"": 0.173554}",Sl,"location: Main article and Supp. Mat.; table: Supp. Mat.: Table S4, P = 0.1 MPa; figure: Fig. 3. c), xNH3 = 0.4, P = 1 atm",False,pending_manual_review,,x20100023.xml,10.24388/x20100023,laminar burning velocity measurement,,,23.9,cm/s,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.104132, ""N2"": 0.652893, ""NH3"": 0.069421, ""O2"": 0.173554}"
lbv_0049,x20100024:gdg1:p1:laminar burning velocity,campaign_aacd4964efeb,10.1016/j.combustflame.2020.08.004,,heat flux burner; premixed,laminar burning velocity,0.141,m/s,0.00747,evaluated standard deviation:absolute:m/s,298.0,300000.0,0.6,0.5000012004023748,"{""H2"": 0.104132, ""NH3"": 0.069421}","{""N2"": 0.652893, ""O2"": 0.173554}",Sl,"location: Main article and Supp. Mat.; table: Supp. Mat.: Table S4, P = 0.3 MPa; figure: Fig. 3. c), xNH3 = 0.4, P = 3 atm",False,pending_manual_review,,x20100024.xml,10.24388/x20100024,laminar burning velocity measurement,,,14.1,cm/s,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.104132, ""N2"": 0.652893, ""NH3"": 0.069421, ""O2"": 0.173554}"
lbv_0051,x20100012:gdg1:p1:laminar burning velocity,campaign_b5091ed74b6b,10.1016/j.ijhydene.2015.04.024,,outwardly propagating spherical flame; constant volume combustion chamber,laminar burning velocity,0.069,m/s,0.00696,evaluated standard deviation:absolute:m/s,298.0,100000.0,1.0,0.0,"{""H2"": 0.0, ""NH3"": 0.21875}","{""N2"": 0.617188, ""O2"": 0.164063}",Sl,location: Main article; table: Table 1 (Pi = 0.1 MPa) - inlet mixture composition; figure: Fig. 5.,False,pending_manual_review,,x20100012.xml,10.24388/x20100012,laminar burning velocity measurement,,,6.9,cm/s,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.0, ""N2"": 0.617188, ""NH3"": 0.21875, ""O2"": 0.164063}"
lbv_0053,x20100012:gdg1:p9:laminar burning velocity,campaign_b5091ed74b6b,10.1016/j.ijhydene.2015.04.024,,outwardly propagating spherical flame; constant volume combustion chamber,laminar burning velocity,2.108,m/s,0.19393,evaluated standard deviation:absolute:m/s,298.0,100000.0,1.0,1.0,"{""H2"": 0.295775, ""NH3"": 0.0}","{""N2"": 0.556338, ""O2"": 0.147887}",Sl,location: Main article; table: Table 1 (Pi = 0.1 MPa) - inlet mixture composition; figure: Fig. 5.,False,pending_manual_review,,x20100012.xml,10.24388/x20100012,laminar burning velocity measurement,,,210.8,cm/s,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.295775, ""N2"": 0.556338, ""NH3"": 0.0, ""O2"": 0.147887}"
lbv_0055,x20100013:gdg1:p7:laminar burning velocity,campaign_b5091ed74b6b,10.1016/j.ijhydene.2015.04.024,,outwardly propagating spherical flame; constant volume combustion chamber,laminar burning velocity,0.425,m/s,0.0077,evaluated standard deviation:absolute:m/s,298.0,300000.0,1.0,0.5,"{""H2"": 0.155556, ""NH3"": 0.103704}","{""N2"": 0.585185, ""O2"": 0.155556}",Sl,location: Main article; table: Table 1 (Pi = 0.3 MPa) - inlet mixture composition; figure: Fig. 6.,False,pending_manual_review,,x20100013.xml,10.24388/x20100013,laminar burning velocity measurement,,,42.5,cm/s,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.155556, ""N2"": 0.585185, ""NH3"": 0.103704, ""O2"": 0.155556}"
