design_id,dataset_id,campaign_id,doi,mechanism_id,experimental_m_per_s,temperature_K,pressure_Pa,equivalence_ratio,cracking_ratio,apparatus,status,simulated_m_per_s,relative_error,converged,failure_reason,grid_points,transport_model,soret_enabled,runtime_s
lbv_0035,x20100006:gdg1:p5:laminar burning velocity,campaign_6f2c5118f885,10.1016/j.ijhydene.2010.07.104,MEI_2021,0.55,298.0,101325.0,1.67,0.6001856882500601,outwardly propagating spherical flame; constant volume combustion chamber,completed,0.6108227682894863,0.1105868514354296,True,,181,multicomponent,True,5.992079700000204
lbv_0037,x20199002:gdg1:p5:laminar burning velocity,campaign_9268c5c9de04,10.1016/j.fuel.2015.06.070,MEI_2021,0.054,298.0,100000.0,1.2,0.0,outwardly propagating spherical flame; constant volume combustion chamber,completed,0.0753139883381805,0.3947034877440835,True,,159,multicomponent,True,5.049657199999956
lbv_0039,x20199004:gdg1:p1:laminar burning velocity,campaign_9268c5c9de04,10.1016/j.fuel.2015.06.070,MEI_2021,0.026,298.0,500000.0,0.9,0.0,outwardly propagating spherical flame; constant volume combustion chamber,completed,0.0315245259781294,0.2124817683895951,True,,189,multicomponent,True,20.557706800000236
lbv_0041,x20199050:gdg1:p2:laminar burning velocity,campaign_a1e35abfc26f,10.1299/transjsme.14-00423,MEI_2021,0.217,298.0,101325.0,0.95,0.0,flame cone method; slot burner,completed,0.1487965720905371,0.3143015111035154,True,,177,multicomponent,True,11.48253879999993
lbv_0043,x20199050:gdg1:p6:laminar burning velocity,campaign_a1e35abfc26f,10.1299/transjsme.14-00423,MEI_2021,0.17,298.0,101325.0,1.2,0.0,flame cone method; slot burner,completed,0.1658929521006726,0.0241591052901612,True,,178,multicomponent,True,8.160771700000168
lbv_0045,x20199051:gdg1:p1:laminar burning velocity,campaign_a1e35abfc26f,10.1299/transjsme.14-00423,MEI_2021,0.228,298.0,101325.0,0.8,0.0,flame cone method; slot burner,completed,0.1360766791221777,0.4031724599904486,True,,173,multicomponent,True,11.66513780000014
lbv_0047,x20100023:gdg1:p1:laminar burning velocity,campaign_aacd4964efeb,10.1016/j.combustflame.2020.08.004,MEI_2021,0.239,298.0,100000.0,0.6,0.5000012004023748,heat flux burner; premixed,completed,0.2166925072967036,0.0933367895535411,True,,160,multicomponent,True,9.184867899999972
lbv_0049,x20100024:gdg1:p1:laminar burning velocity,campaign_aacd4964efeb,10.1016/j.combustflame.2020.08.004,MEI_2021,0.141,298.0,300000.0,0.6,0.5000012004023748,heat flux burner; premixed,completed,0.1242907889355009,0.1185050430106315,True,,170,multicomponent,True,15.192043499999729
lbv_0051,x20100012:gdg1:p1:laminar burning velocity,campaign_b5091ed74b6b,10.1016/j.ijhydene.2015.04.024,MEI_2021,0.069,298.0,100000.0,1.0,0.0,outwardly propagating spherical flame; constant volume combustion chamber,completed,0.065238038266613,0.0545211845418405,True,,175,multicomponent,True,122.83168729999988
lbv_0053,x20100012:gdg1:p9:laminar burning velocity,campaign_b5091ed74b6b,10.1016/j.ijhydene.2015.04.024,MEI_2021,2.108,298.0,100000.0,1.0,1.0,outwardly propagating spherical flame; constant volume combustion chamber,completed,2.1159588737217634,0.0037755567940053,True,,162,multicomponent,True,6.891729799999666
