mechanism_id,location,temperature_K,pressure_bar,target_species,absolute_rank,reaction_index,reaction_equation,production_contribution_kmol_m3_s,normalized_absolute_contribution,direction
POLIMI_2023,psr_steady,2330.9995785348187,5.0,NH2,1,25,NH3 + OH <=> H2O + NH2,0.5383397507038188,0.42102745436342887,production
POLIMI_2023,psr_steady,2330.9995785348187,5.0,NH2,2,34,NH2 + OH <=> H2O + NH,-0.34426250938390757,0.2692425513240935,consumption
POLIMI_2023,psr_steady,2330.9995785348187,5.0,NH2,3,33,H + NH2 <=> H2 + NH,-0.1905305979914854,0.1490111264230815,consumption
POLIMI_2023,psr_steady,2330.9995785348187,5.0,NH2,4,24,H + NH3 <=> H2 + NH2,0.09257298651903734,0.0723999459560136,production
POLIMI_2023,psr_steady,2330.9995785348187,5.0,NH2,5,76,NH2 + NO <=> NNH + OH,-0.027478339669399537,0.02149039781293424,consumption
POLIMI_2023,psr_steady,2330.9995785348187,5.0,NH2,6,29,NH2 + O <=> H + HNO,-0.026466196489788252,0.02069881579469034,consumption
POLIMI_2023,psr_steady,2330.9995785348187,5.0,NH2,7,32,NH2 + O <=> NH + OH,-0.012598888308903537,0.00985340180726356,consumption
POLIMI_2023,psr_steady,2330.9995785348187,5.0,NH2,8,75,NH2 + NO <=> H2O + N2,-0.012304358165218706,0.009623054194131153,consumption
POLIMI_2023,psr_steady,2330.9995785348187,5.0,NH2,9,30,NH2 + O <=> H + HNO,-0.011530760423280169,0.00901803498913309,consumption
POLIMI_2023,psr_steady,2330.9995785348187,5.0,NH2,10,26,NH3 + O <=> NH2 + OH,0.008367585870817536,0.00654416355796093,production
POLIMI_2023,psr_steady,2330.9995785348187,5.0,NH2,11,31,NH2 + O <=> NH + OH,-0.007105327209850614,0.005556969968633208,consumption
POLIMI_2023,psr_steady,2330.9995785348187,5.0,NH2,12,38,NH + NH2 <=> H + N2H2,-0.0014560182004585702,0.001138730022526542,consumption
POLIMI_2023,psr_steady,2330.9995785348187,5.0,HNO,1,79,NH + OH <=> H + HNO,0.19303180201900946,0.4129459658808459,production
POLIMI_2023,psr_steady,2330.9995785348187,5.0,HNO,2,143,H + HNO <=> H2 + NO,-0.11360886731859669,0.24303934873325553,consumption
POLIMI_2023,psr_steady,2330.9995785348187,5.0,HNO,3,142,HNO <=> H + NO,-0.10250819911751644,0.21929208996930089,consumption
POLIMI_2023,psr_steady,2330.9995785348187,5.0,HNO,4,29,NH2 + O <=> H + HNO,0.026466196489788252,0.056618178757879396,production
POLIMI_2023,psr_steady,2330.9995785348187,5.0,HNO,5,30,NH2 + O <=> H + HNO,0.011530760423280169,0.02466733952917845,production
POLIMI_2023,psr_steady,2330.9995785348187,5.0,HNO,6,144,HNO + O <=> NO + OH,-0.0048821045300849715,0.010444109984056694,consumption
POLIMI_2023,psr_steady,2330.9995785348187,5.0,HNO,7,138,NNH + NO <=> HNO + N2,-0.003723079865960515,0.007964650359266663,consumption
POLIMI_2023,psr_steady,2330.9995785348187,5.0,HNO,8,145,HNO + OH <=> H + HONO,-0.003394253295953973,0.007261203548231532,consumption
POLIMI_2023,psr_steady,2330.9995785348187,5.0,HNO,9,146,HNO + OH <=> H2O + NO,-0.0029806231639520906,0.006376339538309901,consumption
POLIMI_2023,psr_steady,2330.9995785348187,5.0,HNO,10,147,HNO + O2 <=> HO2 + NO,-0.0022314543659828425,0.004773669772761437,consumption
POLIMI_2023,psr_steady,2330.9995785348187,5.0,HNO,11,167,H2NO + OH <=> H2O + HNO,0.0007089016945875121,0.0015165278048701024,production
POLIMI_2023,psr_steady,2330.9995785348187,5.0,HNO,12,164,H + H2NO <=> H2 + HNO,0.0005469272182368879,0.0011700216546655581,production
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,NO,1,90,N + NO <=> N2 + O,-0.002291948905466522,0.42867277990728464,consumption
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,NO,2,88,N + OH <=> H + NO,-0.0020185424712716774,0.37753643218535066,consumption
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,NO,3,142,HNO <=> H + NO,-0.00023132985242933085,0.04326658883184761,consumption
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,NO,4,84,NH + NO <=> H + N2O,-0.00022078310170747884,0.0412939859783799,consumption
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,NO,5,89,N + O2 <=> NO + O,-0.00018834842680868095,0.035227593214957185,consumption
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,NO,6,143,H + HNO <=> H2 + NO,-0.00013520497628688281,0.025287951622289404,consumption
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,NO,7,85,NH + NO <=> N2 + OH,-5.809392622436108e-05,0.01086554974717316,consumption
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,NO,8,190,N2O + O <=> 2 NO,-4.123902522444287e-05,0.007713107190768821,consumption
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,NO,9,180,H + NO2 <=> NO + OH,2.4183184585791634e-05,0.004523082054175277,production
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,NO,10,78,NH + O <=> H + NO,-2.3460361630552973e-05,0.004387889456790615,consumption
