observable,best_single,equal_weight,stacked,stacking_minus_equal_weight_mean,stacking_minus_equal_weight_95_low,stacking_minus_equal_weight_95_high,stacking_minus_best_single_mean,stacking_minus_best_single_95_low,stacking_minus_best_single_95_high,stacking_beats_both_point_estimate,stacking_beats_both
H2,6.11568609612144,5.457862014332739,6.205135875238077,0.7472738609053399,-0.08705513704007943,1.8520085118081886,0.08944977911663705,-0.19598416617527858,0.3123265319806318,False,False
H2O,1.8797300771114689,8.604757866039435,3.521812962233734,-5.0829449038057,-11.58749093636586,-0.1886305299983981,1.642082885122266,-6.31461761850158e-13,4.073542107778384,False,False
N2,3.828423221017854,2.241535078115462,3.8603307991641223,1.6187957210486605,0.21021792603072578,3.49689944773924,0.0319075781462686,-3.2196467714131642e-15,0.055838261755972465,False,False
N2O,0.3815140165006277,1.656576882082624,0.32734990285846227,-1.329226979224162,-1.63772824115035,-1.1749763482610682,-0.054164113642165536,-0.08138016023532839,0.0002679795441601629,True,False
NH3,3.043322058365449,2.8577935220881594,3.6804902852250807,0.8226967631369209,-0.5656040552325725,2.9220409408677375,0.6371682268596298,-1.1842746269366264,3.6799575864217795,False,False
NO,4.688997772077694,3.3849932172945323,4.044627745174872,0.6596345278803393,-0.05793167359674288,1.3319531633655326,-0.6443700269028221,-0.8085873122925499,-0.4231682410622357,False,False
NO2,0.09976198823576976,0.06349076017739022,0.06347799864431328,-1.2761533076930144e-05,-6.380766538465072e-05,0.0,-0.03628398959145648,-0.04535804608712719,1.2236391226392461e-05,True,False
O2,30.12416856144521,81.29376976067086,30.124595900948783,-51.16917385972209,-114.36505023423801,0.6388482209642523,0.00042733950356383754,-0.0007786195102064781,0.0019098228333265521,False,False
