design_id,temperature_K,pressure_bar,residence_time_ms,equivalence_ratio,cracking_ratio,psr_fraction,heat_loss_W_per_K,design_role,mechanism_id,status,runtime_s,total_residence_time_s,ambient_temperature_K,psr_temperature_K,outlet_temperature_K,psr_steps,pfr_steps,converged,failure_reason,steady_mass_flow_kg_per_s,fuel_heat_input_W,X_NO,X_NO2,X_N2O,X_NH3,X_H2,X_O2,X_H2O,X_dry_NO,X_dry_NO2,X_dry_N2O,X_dry_NH3,X_dry_H2,X_dry_O2,Y_NO,Y_NO2,Y_N2O,Y_NH3,Y_H2,Y_O2,Y_H2O,EI_g_per_MJ_NO,EI_g_per_MJ_NO2,EI_g_per_MJ_N2O,EI_g_per_MJ_NH3,X_dry_O2corr15_NO,X_dry_O2corr15_NO2,X_dry_O2corr15_N2O,X_dry_O2corr15_NH3,thermo_min_temperature_K,thermo_max_temperature_K,within_mechanism_thermo_range,NOx_NO2eq_g_per_MJ,N2O_g_per_MJ,NH3_slip_g_per_MJ,standard_fuel_heat_input_W,mechanism_to_standard_heat_ratio,EI_standard_LHV_g_per_MJ_NO,EI_standard_LHV_g_per_MJ_NO2,EI_standard_LHV_g_per_MJ_N2O,EI_standard_LHV_g_per_MJ_NH3,EI_standard_LHV_g_per_MJ_NOx_NO2eq
reactor_0001,750,10,10,1.0,0.3,0.5,0.0,primary_map,POLIMI_2023,completed,0.1170516999991377,0.01,300.0,2429.0322105662044,2443.208748392207,640,566,True,,0.2433699327009916,670852.1465748243,0.0029704711042276,8.988007575717118e-07,3.3281927651220575e-07,9.834107465355905e-08,0.0092115435749436,0.0021585380088598,0.2977196155311344,0.0042297509227374,1.2798317843541573e-06,4.739122491138876e-07,1.400310713902886e-07,0.0131166180611898,0.0030736128426715,0.0036014519047997,1.6707545297705347e-06,5.918799472428296e-07,6.767360018497236e-08,0.0007503555878617,0.0027907871644056,0.2167134661484326,1.3065250102754573,0.0006061118229198,0.0002147206111853,2.455044618510968e-05,0.0012118665698284,3.666847960538702e-07,1.3578066941152718e-07,4.0120323218777015e-08,300,3000,True,2.0037766791484817,0.0002147206111853,2.455044618510968e-05,670320.7006514686,1.0007928233796737,1.307560853849732,0.0006065923625437075,0.0002148908467059455,2.4569910352826655e-05,2.0053653201473556
reactor_0002,750,20,20,0.6,0.7,0.5,0.0,primary_map,POLIMI_2023,completed,0.0890207999982521,0.02,300.0,2067.225633304079,2067.962767637241,530,462,True,,0.3050141718228839,564273.7147132832,0.0039633532177399,1.5454876747167882e-05,1.1730119642127345e-06,2.3824280971641845e-10,8.573240106872378e-05,0.0670164814225188,0.2073335270573521,0.0050000263074412,1.94973261449978e-05,1.4798304258512592e-06,3.0055870640268156e-10,0.0001081569663851,0.0845456238028218,0.0045399404317461,2.714250032956374e-05,1.970891354324009e-06,1.5489565021603022e-10,6.598037591967372e-06,0.0818622594270313,0.1425880313825162,2.454032741216522,0.0146716868841407,0.0010653514039679,8.37277499158644e-08,0.0023703590114955,9.243083913195116e-06,7.015421859243866e-07,1.4248565795439092e-10,300,3000,True,3.777206747289748,0.0010653514039679,8.37277499158644e-08,564196.9813033227,1.0001360046446601,2.454366501067476,0.014673682301701942,0.0010654962967070348,8.37391372787399e-08,3.7777204649512215
reactor_0003,750,5,5,0.6,0.7,0.5,0.0,primary_map,POLIMI_2023,completed,0.0879768999984662,0.005,300.0,2044.4616143690528,2056.6477595077527,630,594,True,,0.3054447571260252,565070.2939904113,0.0075191388213203,1.4709268707858696e-05,5.754058488326462e-07,1.5879387794514242e-10,0.0001602042552527,0.0651055250374707,0.2069444919881368,0.009481226402639,1.8547590375778165e-05,7.255555796783379e-07,2.002304710589905e-10,0.00020200888038,0.0820945373681167,0.0086147923113219,2.583834665506641e-05,9.669941520986177e-07,1.0326246967380416e-10,1.233199042861742e-05,0.0795443401351142,0.1423497609089851,4.656665149818544,0.0139667358247799,0.0005227018604079,5.5817798785727494e-08,0.0044079454591985,8.623015979581497e-06,3.373202249393721e-07,9.308975001925915e-11,300,3000,True,7.1535886310386525,0.0005227018604079,5.5817798785727494e-08,564993.4522567018,1.0001360046446603,4.657298477907547,0.013968635365722813,0.000522772950288688,5.582539026561707e-08,7.154561552318464
reactor_0004,750,5,20,1.4,0.7,0.5,0.0,primary_map,POLIMI_2023,completed,0.0895239000019501,0.02,300.0,2355.123628083632,2366.355971003211,570,581,True,,0.0572418161424896,220551.01709497967,0.0002526025244079,4.299774068332691e-09,1.5453767562225496e-08,2.9759304984937152e-06,0.106359609511434,1.1478449558713045e-05,0.2652205934733661,0.000343780081701,5.851789026938161e-09,2.103184632688169e-08,4.050100577207515e-06,0.1447503952433903,1.5621626649789586e-05,0.0003363764237935,8.778704468080224e-09,3.0185272810833164e-08,2.2492756973896945e-06,0.0095158375567679,1.6299933096938296e-05,0.2120416947487688,0.0873031449098545,2.2784251632568814e-06,7.834286412311146e-06,0.0005837770671821,9.705522000370072e-05,1.6520639259100651e-09,5.937663584926868e-09,1.143415292162886e-06,300,3000,True,0.1338558892959632,7.834286412311146e-06,0.0005837770671821,220521.40409507652,1.0001342862840217,0.08731486852476784,2.2787311245054768e-06,7.835338449521417e-06,0.000583855460435149,0.1338738643059312
reactor_0005,750,20,5,1.4,0.7,0.5,0.0,primary_map,POLIMI_2023,completed,0.0932271999990916,0.005,300.0,2369.704129298247,2375.7426778485283,520,604,True,,0.9130195883708344,3517837.350610468,0.0001665633511636,2.952837582154022e-09,1.8362124435834992e-08,1.3997017447915147e-05,0.1065607587343369,3.1810703404625163e-06,0.2659890703755196,0.0002269221675607,4.022879582548849e-09,2.5016145802119108e-08,1.9069222109643537e-05,0.1451759836721414,4.333818764919414e-06,0.0002216321276712,6.024066473187089e-09,3.5838436832088275e-08,1.0571115395751014e-05,0.0095264916828365,4.513789139305423e-06,0.2124923105295229,0.0575224076067789,1.5634863535442768e-06,9.301508734793868e-06,0.0027436275374056,6.406069623699875e-05,1.1356689815977288e-09,7.0621206137601125e-09,5.38328916109355e-06,300,3000,True,0.0881952015517358,9.301508734793868e-06,0.0027436275374056,3517365.0167328245,1.0001342862840212,0.05753013207714437,1.5636963083168122e-06,9.302757799837655e-06,0.0027439959689523363,0.08820704495762069
reactor_0006,750,5,5,1.4,0.7,0.5,0.0,primary_map,POLIMI_2023,completed,0.0878196999983629,0.005,300.0,2343.0454575159865,2361.8764520213504,590,548,True,,0.2289672645699584,882204.0683799187,0.0008331062269533,1.3825929625258526e-08,3.732000693537176e-08,7.103929638487167e-06,0.1069070612653695,1.082874469597807e-05,0.2646024499756201,0.0011328651107495,1.8800619644164124e-08,5.0748070800799535e-08,9.659985457187962e-06,0.1453731539652604,1.4725021446725074e-05,0.0011096825003401,2.8235119411622764e-08,7.291433837816975e-08,5.37067722166613e-06,0.0095672510685113,1.538123475270175e-05,0.2116013232716461,0.2880070221288148,7.328143553404357e-06,1.8924189090440937e-05,0.0013939056919011,0.0003198265597472,5.307725910926101e-09,1.4327019822590084e-08,2.72717368260792e-06,300,3000,True,0.4415811100261435,1.8924189090440937e-05,0.0013939056919011,882085.6163803061,1.0001342862840217,0.2880456975215886,7.329127622570921e-06,1.8926730349472016e-05,0.001394092874316742,0.44164040831250306
reactor_0007,750,5,20,0.6,0.7,0.5,0.0,primary_map,POLIMI_2023,completed,0.0840160000007017,0.02,300.0,2055.590355464348,2060.2034706082445,550,527,True,,0.0763611892815063,141267.57349760283,0.0058913898294043,1.1531108912025066e-05,5.770248385454752e-07,1.5929208084494712e-10,0.0001632954325458,0.065910786303895,0.206916931702884,0.007428465018241,1.4539597897083234e-05,7.275717533403474e-07,2.00851697902181e-10,0.0002058995319324,0.0831070400297622,0.006749962870331,2.025590387753167e-05,9.69730372716084e-07,1.0358809651977312e-10,1.2570139099367092e-05,0.0805294707936333,0.1423330692599819,3.64864476413786,0.0109491858022636,0.0005241809051406,5.59938140778752e-08,0.0034813657267239,6.81401308008574e-06,3.4097802972643385e-07,9.412956990629326e-11,300,3000,True,5.605069271269695,0.0005241809051406,5.59938140778752e-08,141248.36306417544,1.0001360046446603,3.6491409967724984,0.010950674942387956,0.0005242521961783414,5.600142949666204e-08,5.60583158672423
reactor_0008,750,20,5,0.6,0.7,0.5,0.0,primary_map,POLIMI_2023,completed,0.0872329999983776,0.005,300.0,2064.1947116571123,2066.9962582711546,540,580,True,,1.2200566872915355,2257094.858853133,0.0043977430254986,1.7146936792189355e-05,1.171034022463361e-06,2.3524682521996636e-10,8.528777451466764e-05,0.0667999255296033,0.2073388758976315,0.0055480745703011,2.1632115251781804e-05,1.4773450934527315e-06,2.967810809270688e-10,0.000107596767296,0.0842729932103702,0.0050375073590736,3.0114060745614376e-05,1.9675610874949984e-06,1.5294724557627384e-10,6.563795624572303e-06,0.0815974435517575,0.142591207334538,2.7229890301735447,0.0162779428831179,0.0010635512517505,8.267455354666414e-08,0.0026244227940133,1.0232706073094363e-05,6.988330976363833e-07,1.403872683662678e-10,300,3000,True,4.191178107437958,0.0010635512517505,8.267455354666414e-08,2256787.925213291,1.0001360046446601,2.723359369329007,0.016280156758955514,0.0010636958996605723,8.268579766994169e-08,4.191748127127167
reactor_0009,750,20,20,1.4,0.7,0.5,0.0,primary_map,POLIMI_2023,completed,0.0965974999999161,0.02,300.0,2372.288945597949,2376.512457414795,500,632,True,,0.2282548970927085,879459.3376526169,6.93556840281918e-05,1.2348086355328942e-09,1.4198141795694372e-08,6.814866074675291e-06,0.106478482607007,3.2138958777183183e-06,0.2660936949282884,9.45020959063908e-05,1.6825153660619362e-09,1.934598694353368e-08,9.285744007894024e-06,0.1450845726098549,4.379163737262458e-06,9.228236750224624e-05,2.519029517879712e-09,2.7710288313257696e-08,5.14666662758017e-06,0.0095187724462765,4.560192753932754e-06,0.2125677688179102,0.023950967822934,6.537889800702127e-07,7.1919288778423024e-06,0.0013357659770653,2.6678184146476785e-05,4.7497840481273e-10,5.46142175181137e-09,2.6213893586553504e-06,300,3000,True,0.036722395374124,7.1919288778423024e-06,0.0013357659770653,879341.2541832057,1.0001342862840217,0.023954184109401665,6.538767749628807e-07,7.192894655246256e-06,0.0013359453521146827,0.03672732668813926
reactor_0010,750,20,20,0.6,0.0,0.5,0.0,primary_map,POLIMI_2023,completed,0.105186799999501,0.02,300.0,1943.1005386034976,1944.4483858200647,540,584,True,,0.324530022132702,545535.0086701758,0.0024773690591049,1.1951893947998354e-05,8.51747644120646e-07,7.649785318438129e-11,3.368390294615845e-05,0.0679535799912261,0.2077967453819123,0.0031271886913659,1.5086903365172652e-05,1.0751630205448529e-06,9.656341694942932e-11,4.251926857129246e-05,0.0857779611420377,0.0028371336668675,2.098566564346244e-05,1.4307801161262138e-06,4.9724494817822615e-11,2.59175484053582e-06,0.0829881644421761,0.1428742589359722,1.687765289245868,0.0124840357218209,0.0008511481305028,2.9580304008540185e-08,0.0014973306277074,7.2237670046284e-06,5.147992907767679e-07,4.623557322066003e-11,300,3000,True,2.6001740725610225,0.0008511481305028,2.9580304008540185e-08,544806.4549905903,1.0013372706452204,1.6900222882231986,0.012500730256325573,0.0008522863459124556,2.9619860880767502e-08,2.603651209020722
