mechanism_id,n,campaigns,mean_absolute_log10_error,median_absolute_log10_error,root_mean_squared_log10_error,mean_signed_log10_bias,geometric_bias_ratio,median_runtime_s,external_cv_supported
C3_v3_5_C0,46,1,0.12127914868492568,0.11112786507768256,0.1477696616535304,-0.05589822224473546,0.8792285416050374,0.028955150000115247,False
KAUST_2023,46,1,0.2250632332703097,0.2205788660732817,0.25899137977580655,-0.22493055101010984,0.595757404794624,0.34910764999858657,False
Konnov_2026,46,1,0.10437688910395955,0.08026078942269589,0.13200218837534453,0.0055824794024387815,1.0129371033517836,0.051213799999459256,False
MEI_2019,46,1,0.12287468667307809,0.10742656221506336,0.15159044562772775,0.04552589194811075,1.11051874072585,0.031182599999965498,False
MEI_2021,46,1,0.17160742069899032,0.1607609229462325,0.20170951257196035,-0.16953130908682834,0.676812998468828,0.037897149999480406,False
NUIGMech1.1_HT,46,1,0.16071100105540476,0.13174783255300554,0.1968446624541573,0.12277476433731854,1.3267062172202968,5.678846799999519,False
NUIG_2024,46,1,0.1271297484201544,0.10995184115946069,0.1554259781437304,-0.05709736610550736,0.8768042250854636,0.0564571999993859,False
Otomo_2018,46,1,0.19220472891725562,0.1787785602054771,0.22813942669915607,0.16678444811370693,1.4681973914151372,0.0313189500002408,False
POLIMI_2023,46,1,0.13436695200912094,0.12793501632883802,0.16365828969475818,-0.11029172638702187,0.7757258672539179,0.02868324999963075,False
RMG_2026_Burke,46,1,0.11425642312796187,0.09963825857008282,0.14244437432664678,-0.014938615209502766,0.9661874338492109,0.0868612499999699,False
Shrestha_2018,46,1,0.11210776307635864,0.1048381211912528,0.1445031248500939,-0.03775512454585496,0.9167372435741837,0.1751822500000344,False
