design_id,design_role,pressure_bar,equivalence_ratio,cracking_ratio,flame_temperature_K,temperature_K,ignition_temperature_K,residence_time_ms,psr_fraction,heat_loss_W_per_K,inside_lbv_convex_hull,inside_all_idt_convex_hull,inside_exact_criterion_convex_hull,mechanism_id,status,runtime_s,total_residence_time_s,ambient_temperature_K,psr_temperature_K,outlet_temperature_K,psr_steps,pfr_steps,converged,failure_reason,steady_mass_flow_kg_per_s,fuel_heat_input_W,X_NO,X_NO2,X_N2O,X_NH3,X_H2,X_O2,X_H2O,X_dry_NO,X_dry_NO2,X_dry_N2O,X_dry_NH3,X_dry_H2,X_dry_O2,Y_NO,Y_NO2,Y_N2O,Y_NH3,Y_H2,Y_O2,Y_H2O,EI_g_per_MJ_NO,EI_g_per_MJ_NO2,EI_g_per_MJ_N2O,EI_g_per_MJ_NH3,X_dry_O2corr15_NO,X_dry_O2corr15_NO2,X_dry_O2corr15_N2O,X_dry_O2corr15_NH3,standard_fuel_heat_input_W,mechanism_to_standard_heat_ratio,EI_standard_LHV_g_per_MJ_NO,EI_standard_LHV_g_per_MJ_NO2,EI_standard_LHV_g_per_MJ_N2O,EI_standard_LHV_g_per_MJ_NH3,EI_standard_LHV_g_per_MJ_NOx_NO2eq,thermo_min_temperature_K,thermo_max_temperature_K,within_mechanism_thermo_range
screen_0256,surrogate_screening,5,1.0,0.7,450.0,750.0,1200.0,10.0,0.5,0.0,False,False,False,RMG_2026_Burke,completed,0.4655570999998417,0.01,300.0,2490.318736220313,2506.831605616337,610,518,True,,0.1182885659311018,344025.1006337458,0.0020056617742186,9.917582912707064e-07,3.230961487581817e-07,6.045948368984911e-08,0.0129346995946901,0.0038572951597682,0.2912115767476009,0.0028297044765704,1.3992303750107131e-06,4.558428695485724e-07,8.529976182796587e-08,0.0182490277357198,0.0054420967290469,0.0024396237124504,1.8495578455862344e-06,5.764608221038083e-07,4.174088248094727e-08,0.001057070415195,0.0050033714948476,0.2126669222187096,0.8388329509261481,0.0006359464607611,0.0001982085720969,1.435206070799586e-05,0.000820172351134,4.055582750611497e-07,1.321232380133459e-07,2.4723608697968603e-08,343974.7523057564,1.0001463721614796,0.8389557327182955,0.0006360395456191,0.000198237584314,1.4354161450143377e-05,1.2869270924172531,298,2500,False
screen_0264,surrogate_screening,5,1.1,0.7,450.0,750.0,1200.0,10.0,0.5,0.0,False,False,False,RMG_2026_Burke,completed,0.4952275000000554,0.01,300.0,2486.2093310819323,2505.0783613726376,600,532,True,,0.1158701191952585,365504.3714766358,0.000793884472938,1.529087913768107e-07,1.2552394602246805e-07,2.5582927290921765e-07,0.0329750081310997,0.0005831363395719,0.2910875642553541,0.0011198625287255,2.156948921571595e-07,1.7706551570169164e-07,3.608757020047096e-07,0.0465149240843301,0.0008225787984088,0.0009866169172954,2.913537657107343e-07,2.2881827135257414e-07,1.8045691579604984e-07,0.0027533320117404,0.0007728159654733,0.2171906192505283,0.3127716895566198,9.236331544956147e-05,7.253866832990966e-05,5.720742616134108e-05,0.000317382590357,6.113054222604207e-08,5.01825095445075e-08,1.022765403442087e-07,365450.9567805733,1.0001461610513571,0.3128174045956001,9.23768153688544e-05,7.25492706579368e-05,5.721578765889426e-05,0.4797055590390794,298,2500,False
screen_0328,surrogate_screening,10,1.0,0.7,450.0,750.0,1200.0,10.0,0.5,0.0,False,False,False,RMG_2026_Burke,completed,0.5070485000001099,0.01,300.0,2515.425974816585,2527.049469096236,590,508,True,,0.235147358548848,683891.913404765,0.0015496174393135,9.82407059773925e-07,4.1358534703067953e-07,7.953479607269122e-08,0.010993723541252,0.0033085461673415,0.2942922043679313,0.0021958343791931,1.3920875833517331e-06,5.860575008389285e-07,1.127021645006142e-07,0.0155782940323133,0.0046882664295612,0.0018819713011156,1.8292661838271288e-06,7.367608015841049e-07,5.4824883443499e-08,0.0008970481101306,0.0042848974202531,0.2145820651864365,0.6470914067676093,0.0006289694362201,0.0002533256395916,1.88508246285654e-05,0.0006341007738928,4.019992683848281e-07,1.6923840811901217e-07,3.2545500884038915e-08,683791.8253172914,1.0001463721614792,0.6471861229354925,0.0006290614998359,0.000253362719413,1.885358386451195e-05,0.9928980061047262,298,2500,False
screen_0336,surrogate_screening,10,1.1,0.7,450.0,750.0,1200.0,10.0,0.5,0.0,False,False,False,RMG_2026_Burke,completed,0.438314900000023,0.01,300.0,2506.416366806625,2520.087568363887,570,536,True,,0.2307068077606092,727748.8566644465,0.0005053105869022,1.0676868365298073e-07,1.3316850252503405e-07,4.000978769206822e-07,0.0320205077618272,0.0003621649541531,0.2931553727096928,0.0007148821217462,1.510497208732831e-07,1.883985495306603e-07,5.660336960534872e-07,0.0453006311791292,0.0005123685463119,0.000627255616766,2.0320153298125762e-07,2.424714136990346e-07,2.818931044016536e-07,0.0026705259275738,0.0004794102476087,0.2184792423396684,0.1988490118105942,6.44177954755396e-05,7.686690994486755e-05,8.936415035306625e-05,0.0002023047836887,4.274562221933696e-08,5.3314982499468216e-08,1.6018210689190974e-07,727642.5036710978,1.0001461610513571,0.1988780757912217,6.44272108482524e-05,7.687814489323966e-05,8.937721191123549e-05,0.3049852704998145,298,2500,False
screen_0399,surrogate_screening,20,1.0,0.5,450.0,750.0,1200.0,10.0,0.5,0.0,False,False,False,RMG_2026_Burke,completed,0.4502124000000549,0.01,300.0,2492.850552874412,2502.928683879064,620,511,True,,0.4759032017423149,1347967.6143757005,0.001236554593855,9.75472166874167e-07,4.78156612452926e-07,1.0287768110985216e-07,0.0081972334929816,0.0024338130773799,0.2987942359776231,0.0017634689520543,1.391135408355026e-06,6.819062777094729e-07,1.467153956631896e-07,0.011690196962956,0.0034708971349846,0.0014984616159468,1.812358628458628e-06,8.499147383569016e-07,7.07596275141378e-08,0.0006673936284846,0.0031450986844271,0.2173855659635202,0.5290354702233188,0.0006398575639283,0.0003000644384022,2.498185633611676e-05,0.0005062283964696,3.993448516478562e-07,1.9575072252070425e-07,4.2116703782886143e-08,1347343.1986982217,1.000463442186135,0.5292806475781819,0.0006401541009165,0.0003002035009215,2.499343398223088e-05,0.8121358443824942,298,2500,False
screen_0400,surrogate_screening,20,1.0,0.7,450.0,750.0,1200.0,10.0,0.5,0.0,False,False,False,RMG_2026_Burke,completed,0.3861151999999492,0.01,300.0,2535.626714658134,2544.016113801284,560,485,True,,0.4678404889012068,1360646.0608248855,0.0013506774845891,1.0868336909157338e-06,5.429311688196584e-07,1.1555076348419922e-07,0.0093034590134043,0.0027608047390238,0.2969882523490379,0.0019212729930934,1.5459680361633662e-06,7.722931666985714e-07,1.6436533794819166e-07,0.0132337177074079,0.0039271103907562,0.0016381752455858,2.021011205631996e-06,9.658870427233557e-07,7.954512379311448e-08,0.0007581158388724,0.0035707473255079,0.2162589703661397,0.5632652971751542,0.0006948984734093,0.0003321077238977,2.7350558441713056e-05,0.0005527552023502,4.447789969090444e-07,2.2219073872727962e-07,4.72883322482144e-08,1360446.929267271,1.0001463721614792,0.5633477435341879,0.0006950001872008,0.000332156335223,2.735456180206983e-05,0.8644225294283244,298,2500,False
screen_0408,surrogate_screening,20,1.1,0.7,450.0,750.0,1200.0,10.0,0.5,0.0,False,False,False,RMG_2026_Burke,completed,0.5238508000002184,0.01,300.0,2521.316910351577,2531.220479608715,540,540,True,,0.4598243373953034,1450484.44410514,0.0003623909013855,8.188102694919161e-08,1.442071114182875e-07,7.188855513310506e-07,0.0313686462175146,0.0002119537050086,0.2946996451156011,0.0005138107458417,1.1609384056330469e-07,2.044619861873223e-07,1.019261576082545e-06,0.0444755854725977,0.0003005155229836,0.0004494540197191,1.5569985019906437e-07,2.6234182066713616e-07,5.060574032424301e-07,0.0026138832315907,0.000280326222886,0.219438970992116,0.1424833597126221,4.9359081885571145e-05,8.316611346615677e-05,0.0001604274427593,0.000145255912254,3.282009349663391e-08,5.780204591919112e-08,2.881484501007133e-07,1450272.4707560604,1.000146161051357,0.1425041852302785,4.936629626087354e-05,8.317826911273823e-05,0.000160450891003,0.2185374834994821,298,2500,False
