design_id,design_role,temperature_K,pressure_bar,residence_time_ms,equivalence_ratio,cracking_ratio,psr_fraction,heat_loss_W_per_K,mechanism_count,NOx_NO2eq_g_per_MJ_median,NOx_NO2eq_g_per_MJ_p05,NOx_NO2eq_g_per_MJ_p95,NOx_NO2eq_g_per_MJ_worst,NOx_NO2eq_g_per_MJ_absolute_range,NOx_NO2eq_g_per_MJ_relative_range,N2O_g_per_MJ_median,N2O_g_per_MJ_p05,N2O_g_per_MJ_p95,N2O_g_per_MJ_worst,N2O_g_per_MJ_absolute_range,N2O_g_per_MJ_relative_range,NH3_slip_g_per_MJ_median,NH3_slip_g_per_MJ_p05,NH3_slip_g_per_MJ_p95,NH3_slip_g_per_MJ_worst,NH3_slip_g_per_MJ_absolute_range,NH3_slip_g_per_MJ_relative_range,complete_mechanism_set,emissions_only_robust_pareto
reactor_0001,primary_map,750,10,10,1.0,0.3,0.5,0.0,8,2.0125042190728157,1.3329951878370392,2.215141184351042,2.2258028027052297,1.1206072923654904,0.5034620726523975,0.0002110290342239,0.000167789354757575,0.000218775693733535,0.0002197511454842,5.219470319330001e-05,0.23751732023191108,2.4823802009114566e-05,1.6860626294209735e-05,2.9752164261832034e-05,3.059856451730733e-05,1.489891680362311e-05,0.4869155477929659,True,False
reactor_0002,primary_map,750,20,20,0.6,0.7,0.5,0.0,8,4.846635803900961,3.6981683415314244,6.130804411544528,6.485811642529534,2.8304790597626153,0.43641092522673064,0.0010055269209664499,0.00084888538718767,0.00106323411554688,0.001065496296707,0.0002176206332715001,0.2042434440589552,8.321521765574591e-08,6.928790627276529e-08,8.85985620810099e-08,8.960681075655044e-08,2.7131481167732407e-08,0.30278369399224536,True,False
reactor_0003,primary_map,750,5,5,0.6,0.7,0.5,0.0,8,8.156678948595538,7.061333935527823,10.207418181451873,10.532430953960391,3.5212965043967603,0.33432894265237856,0.0005037160634448,0.00043394729556267,0.000578402925691225,0.0006083575278311,0.0001782170775534,0.2929479284801073,6.16110432353939e-08,4.624594923139158e-08,7.380182934296976e-08,7.398027451663376e-08,3.273813951463497e-08,0.44252525052842445,True,False
reactor_0004,primary_map,750,5,20,1.4,0.7,0.5,0.0,8,0.12955324794879297,0.07462486416515215,0.15559559533730205,0.1568256779933085,0.09765747083776329,0.6227135255358512,7.634837531859317e-06,6.363874775990117e-06,9.45375604856925e-06,1.0150252832258969e-05,3.965562516806246e-06,0.39068608263659366,0.00057860034722175,0.000389632410751075,0.00072386023436712,0.000744163194659,0.0003878237181799,0.5211541244761689,True,False
reactor_0005,primary_map,750,20,5,1.4,0.7,0.5,0.0,8,0.0826901471678251,0.04765925044126566,0.098651771431147,0.1030920421851401,0.06401495801258461,0.6209495578487226,8.87746631243754e-06,7.69375032520267e-06,1.118131474949789e-05,1.198356649439566e-05,4.541276984781289e-06,0.3789587170818556,0.00262318828789295,0.001785823293686535,0.0033375095319942145,0.0035882895337718,0.0020194698366874002,0.5627945620554905,True,False
reactor_0006,primary_map,750,5,5,1.4,0.7,0.5,0.0,8,0.4314162156839816,0.26307422827562094,0.5186740040779197,0.5402321894313998,0.32664263304178576,0.6046337841985696,2.598915155109434e-05,1.577125184090265e-05,3.487782956193131e-05,3.578792299395556e-05,2.1715774965359495e-05,0.6067905915922308,0.00135975958161535,0.001003534909622135,0.00187825548723386,0.0020024689516811,0.0011306955264065001,0.5646507155365709,True,False
reactor_0007,primary_map,750,5,20,0.6,0.7,0.5,0.0,8,6.444087300530484,5.568219228057232,8.327090909354126,8.725941334443357,3.177974914899125,0.3641985194600043,0.00050606239953325,0.00042679850885845,0.000548336627577965,0.0005613051675624,0.00013667905793890005,0.24350222630670063,6.021965573281419e-08,4.623424719687241e-08,7.034739088496662e-08,7.042550732616161e-08,2.929092649181164e-08,0.41591360295292706,True,False
reactor_0008,primary_map,750,20,5,0.6,0.7,0.5,0.0,8,5.416307153326855,4.22006980667676,6.721466404060201,7.1264631930522295,2.9347150659250625,0.4118052653083497,0.0010146230933657501,0.000850688177473625,0.0010611240095032301,0.0010636958996605,0.00021457457610750007,0.20172548956519043,8.265532807694312e-08,6.820259470157225e-08,9.085706476873997e-08,9.131681242227565e-08,3.048588708910012e-08,0.3338474732136341,True,False
reactor_0009,primary_map,750,20,20,1.4,0.7,0.5,0.0,8,0.0356393702265747,0.02298028682557282,0.037230670673143965,0.0374443215642039,0.020024742786811402,0.5347871706655435,6.687739943748515e-06,5.566921891009904e-06,7.168526271828955e-06,7.192894655246256e-06,1.6409665814713313e-06,0.22813716314814445,0.0013305645836120998,0.00098121506583444,0.0014482076184106748,0.0014802479280916,0.0005413936429545,0.36574524623891097,True,True
reactor_0010,primary_map,750,20,20,0.6,0.0,0.5,0.0,8,3.8464675910276407,2.615531806407611,4.94465751972234,5.243813977719571,2.6401627686988496,0.5034813934889054,0.00079568676973095,0.000676681421293745,0.0008493454815225101,0.0008522863459124,0.00017593175825890005,0.20642329787714647,2.722905942635968e-08,2.346269986890164e-08,2.9148472361403547e-08,2.9619860880767505e-08,8.051826685967312e-09,0.27183877461070216,True,True
reactor_0011,primary_map,750,5,20,0.6,0.0,0.5,0.0,8,5.402442458773505,4.340452866393675,6.841636453750867,7.3491913181399315,3.0897511264424953,0.42042055958131,0.00040395558527779997,0.00033963626759612,0.000429766885711755,0.0004348602033519,9.644578645830003e-05,0.22178572726337442,1.927419153140091e-08,1.4933707355250362e-08,2.180731787003791e-08,2.1830613001807665e-08,8.636464632408557e-09,0.3956125570863916,True,True
reactor_0012,primary_map,750,20,5,0.6,0.0,0.5,0.0,8,4.308202804730939,3.015648488868728,5.327890870180755,5.666366039167915,2.729035930781323,0.4816201268886031,0.00079983386317235,0.000677150008868795,0.0008476144274754,0.0008507048043083,0.00017411938124509997,0.2046766168044329,2.727069136951634e-08,2.2695955695874855e-08,2.863783437144437e-08,2.875124717385498e-08,8.228039469203464e-09,0.2861802627012873,True,True
reactor_0013,primary_map,750,20,20,1.4,0.0,0.5,0.0,8,0.034456982339954756,0.023674296006895846,0.04658844778706639,0.0498655540844103,0.027542454824270497,0.552334278240402,5.949934046606477e-06,3.403430419143628e-06,8.876860439911857e-06,9.289407506596725e-06,6.358345640205922e-06,0.6844726787677948,0.0150863131017871,0.007671478724525085,0.02601450145774831,0.0268493128688909,0.019224953649258802,0.7160314955968164,True,False
reactor_0014,primary_map,750,5,5,0.6,0.0,0.5,0.0,8,6.167574682234165,5.4450814133436625,7.888877585331962,8.511170493203583,3.148371108199683,0.3699104736197858,0.00040207391832725,0.00034219827348284503,0.00044729180725773,0.0004627268328316,0.0001225868331673,0.2649226810927409,1.9280073132733962e-08,1.4397088471420188e-08,2.2209329798423e-08,2.231781372597946e-08,9.664082943654232e-09,0.4330210415012371,True,False
reactor_0015,primary_map,750,5,20,1.4,0.0,0.5,0.0,8,0.10184732680254555,0.06842634906233735,0.1337326957315721,0.1454183782686928,0.08133183124143831,0.5592954082541043,6.470966562378661e-06,4.478646313618803e-06,9.745203522066544e-06,1.042817592388671e-05,6.143477744298681e-06,0.5891229481683822,0.00294315005869295,0.001881546617428005,0.004807311823807514,0.0051632605247451,0.0036969841559314,0.716017357290704,True,False
reactor_0016,primary_map,750,20,5,1.4,0.0,0.5,0.0,8,0.05427801837466375,0.0437886519524743,0.08574910406376855,0.0915012852964281,0.047855907905757604,0.5230080402775035,0.0001524335063232,8.421712178338273e-05,0.000246020921739745,0.0002638027354388,0.0001832606001295456,0.6946880206708868,0.281948990966349,0.1562803832688401,0.526708272039737,0.5689460202017621,0.4467826966473831,0.7852813461792792,True,False
reactor_0017,primary_map,750,5,5,1.4,0.0,0.5,0.0,8,0.10661067697636895,0.08663518888577204,0.17598323037563934,0.1930872314287148,0.11312860362639751,0.5858937579109836,0.0004124968395696,0.00029115730012046,0.0007525087285933199,0.0008068212340597,0.0005438070105245,0.6740117730766881,0.31326040464423716,0.11830856981367846,0.736413956503054,0.8242133171036172,0.717422011672846,0.8704324436226675,True,False
reactor_0018,primary_map,750,5,10,1.0,0.7,0.5,0.0,7,2.469762293208237,2.2199202324594216,2.6443740382880554,2.697405483930294,0.5259768498821313,0.19499361627891001,0.0001931826550958,0.0001570214260842,0.00020386275127231,0.0002039918634583,4.69862011105e-05,0.23033370210917709,1.8947661918822555e-05,1.4270962732618478e-05,2.14255899461305e-05,2.171919077484621e-05,9.26447061921742e-06,0.42655689685947884,False,False
reactor_0019,primary_map,750,10,5,1.0,0.7,0.5,0.0,7,2.3781844852678278,2.1545420040648877,2.55802551923961,2.575259642704381,0.4780353039608749,0.1856260611682911,0.0002550164037452,0.00020711005902564002,0.00027100646920701,0.0002716910260056,6.468535139129996e-05,0.23808423981573354,3.0346892935474944e-05,2.284870412306202e-05,3.545053086904529e-05,3.625089494334684e-05,1.648545979407411e-05,0.4547600775053335,False,False
