method,n,campaigns,mean_absolute_relative_error,cluster_bootstrap_95_low,cluster_bootstrap_95_high,root_mean_squared_relative_error,mean_signed_relative_bias,median_absolute_relative_error
stacked,68,14,0.15455827994616694,0.10617865101722182,0.21306479998050468,0.2418775367795346,0.03777639658374271,0.0844009970068716
equal_weight,68,14,0.1826033074772514,0.12210974874718826,0.255033317619382,0.27977543599697974,0.067413296454148,0.11847828377994289
best_single,68,14,0.15092826197953343,0.10401223911108336,0.20925514961928446,0.23816727400658655,0.042141145588744815,0.09220270361807086
