mechanism_id,inside_experimental_convex_hull,n,mean_absolute_relative_error,median_absolute_relative_error,root_mean_squared_log_error,nominal_90_interval_coverage
C3_v3_5_C0,False,12,0.029083932549708476,0.011495848003073916,0.061661772271759785,0.9166666666666666
C3_v3_5_C0,True,12,0.011866547824146869,0.004260549490356185,0.020387753928417757,0.9166666666666666
Konnov_2026,False,12,0.05729704806055921,0.041117643942266274,0.0770852930499342,0.9166666666666666
Konnov_2026,True,12,0.01024671515421039,0.006662607427923807,0.014769132648900564,0.9166666666666666
MEI_2019,False,12,0.04326778507515986,0.04197946828574884,0.05514329756429407,0.6666666666666666
MEI_2019,True,12,0.00759652599737724,0.0059240797144183895,0.009431908309233393,1.0
MEI_2021,False,12,0.05205997643171089,0.026800784684044593,0.07628143806313646,0.75
MEI_2021,True,12,0.00812296463446008,0.0039406205273254885,0.0127330142521021,1.0
NUIG_2024,False,12,0.04334915312368721,0.02109718896415832,0.0678731740083975,0.9166666666666666
NUIG_2024,True,12,0.014831914681670354,0.006755049538947757,0.023407811505060397,0.9166666666666666
Otomo_2018,False,12,0.05868964744577019,0.043033452291596566,0.07210494829691794,0.5833333333333334
Otomo_2018,True,12,0.008594212836678194,0.0052644555800666045,0.011814696726865203,1.0
POLIMI_2023,False,12,0.050739115064527135,0.031324258008682215,0.07205253455373595,0.8333333333333334
POLIMI_2023,True,12,0.009582596958579798,0.007576991386552731,0.012165790641023565,0.9166666666666666
RMG_2026_Burke,False,12,0.044192598450963023,0.023238050394193695,0.0658788810113133,0.8333333333333334
RMG_2026_Burke,True,12,0.011380560952872494,0.004103231911484247,0.021722839708491818,0.9166666666666666
