mechanism_id,reaction_index,reaction_equation,normalized_flame_speed_sensitivity,absolute_sensitivity,absolute_rank,reaction_family,temperature_K,pressure_bar,equivalence_ratio,cracking_ratio,flame_speed_m_per_s
Konnov_2026,116,H + NH2 <=> H2 + NH,0.0238523654088807,0.0238523654088807,18,NHx conversion,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,15,H + HO2 <=> 2 OH,0.022191881545313333,0.022191881545313333,19,H/O radical chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,120,NH2 + O <=> H2 + NO,-0.021395258672458745,0.021395258672458745,20,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,213,cHNNH (+M) <=> H + NNH (+M),0.018225161081071157,0.018225161081071157,21,NHx conversion,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,123,HO2 + NH2 <=> NH3 + O2,-0.017821887752180725,0.017821887752180725,22,NHx conversion,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,83,NH + O <=> H + NO,-0.017172232384364373,0.017172232384364373,23,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,295,H + NO (+M) <=> HNO (+M),0.01665949249368417,0.01665949249368417,24,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,6,H2O + M <=> H + OH + M,-0.015648585524674647,0.015648585524674647,25,H/O radical chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,152,H + NH3 <=> H2 + NH2,-0.015563039659397026,0.015563039659397026,26,NHx conversion,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,119,NH2 + O <=> NH + OH,0.015386771470862837,0.015386771470862837,27,NHx conversion,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,17,H2 + O2 <=> H + HO2,-0.015299834822215969,0.015299834822215969,28,H/O radical chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,117,N + NH2 <=> H + NNH,0.015157874615221887,0.015157874615221887,29,NHx conversion,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,16,H2O + O <=> H + HO2,0.014550125001312699,0.014550125001312699,30,H/O radical chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,174,NNH <=> H + N2,0.014250225549254777,0.014250225549254777,31,NHx conversion,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,277,NO + O (+M) <=> NO2 (+M),-0.012383021886072446,0.012383021886072446,32,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,87,NH + OH <=> H2 + NO,-0.011694952468192849,0.011694952468192849,33,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,179,NNH + O2 <=> HO2 + N2,-0.011615663939208615,0.011615663939208615,34,NHx conversion,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,352,H + N2O <=> N2 + OH,-0.01117736962503996,0.01117736962503996,35,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,148,2 NH2 <=> NH + NH3,0.010616155737053915,0.010616155737053915,36,NHx conversion,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,19,HO2 + OH <=> H2O + O2,-0.009663962440569976,0.009663962440569976,37,H/O radical chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,280,HO2 + NO <=> NO2 + OH,0.008723064960785825,0.008723064960785825,38,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,122,HO2 + NH2 <=> NH3 + O2,-0.008584665224370213,0.008584665224370213,39,NHx conversion,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,176,NNH + O <=> NH + NO,0.008143804004736212,0.008143804004736212,40,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,204,H + tHNNH <=> H2 + NNH,-0.007841166760571252,0.007841166760571252,41,NHx conversion,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,81,H + NH <=> H2 + N,-0.007389273410087327,0.007389273410087327,42,NHx conversion,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,153,NH3 + O <=> NH2 + OH,0.00735679821271047,0.00735679821271047,43,NHx conversion,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,278,N + NO <=> N2 + O,-0.0070052426750319375,0.0070052426750319375,44,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,14,HO2 + O <=> O2 + OH,-0.006859651948817586,0.006859651948817586,45,H/O radical chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,100,2 NH <=> 2 H + N2,0.006764316506004333,0.006764316506004333,46,NHx conversion,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,281,HO2 + NO <=> HNO + O2,0.006725137580916938,0.006725137580916938,47,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,133,NH2 + NO <=> H2O + N2,-0.006694421141550928,0.006694421141550928,48,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
