design_id,design_role,inside_experimental_convex_hull,mechanism_id,temperature_K,pressure_bar,equivalence_ratio,cracking_ratio,status,laminar_burning_velocity_m_per_s,max_temperature_K,grid_points,transport_model,soret_enabled,failure_reason,runtime_s,source_design_id,surrogate_m_per_s,surrogate_90_low_m_per_s,surrogate_90_high_m_per_s,surrogate_relative_error,direct_inside_surrogate_90_interval
screen_0039,direct_pareto_confirmation_reused,True,POLIMI_2023,300.0,5,1.0,0.5,completed,0.2925563176070526,2158.0253204498363,204,multicomponent,True,,10.21766629999911,map_0126,0.2966309705432879,0.2784621815632913,0.3159852163459899,0.013927755755075504,True
screen_0046,direct_pareto_confirmation_reused,True,POLIMI_2023,300.0,5,1.1,0.4,completed,0.2382478299261979,2107.2472528217727,192,multicomponent,True,,5.312316999999894,map_0030,0.2382477923641314,0.2381762259444166,0.2383193802878918,1.5765963743137048e-07,True
screen_0039,direct_pareto_confirmation_reused,True,Konnov_2026,300.0,5,1.0,0.5,completed,0.2106102855963985,2159.988594033196,207,multicomponent,True,,50.035004299999855,map_0126,0.2124443284661946,0.199411232832856,0.2263292396135073,0.008708230296552369,True
screen_0046,direct_pareto_confirmation_reused,True,Konnov_2026,300.0,5,1.1,0.4,completed,0.1639824697103432,2117.0418299669086,197,multicomponent,True,,24.45448600000236,map_0030,0.1639824247927518,0.1639322985804939,0.1640325663322953,2.7391703195893996e-07,True
screen_0039,direct_pareto_confirmation_reused,True,MEI_2019,300.0,5,1.0,0.5,completed,0.2624550344244141,2154.7325592509856,209,multicomponent,True,,13.540033100000072,map_0126,0.2640352234228564,0.2502401334031781,0.2785908010032748,0.006020798960506886,True
screen_0046,direct_pareto_confirmation_reused,True,MEI_2019,300.0,5,1.1,0.4,completed,0.2012197935178195,2111.8347554276443,196,multicomponent,True,,11.574803400000746,map_0030,0.2012197947402834,0.2011607307778891,0.2012788760447882,6.075266684791835e-09,True
screen_0039,direct_pareto_confirmation_reused,True,C3_v3_5_C0,300.0,5,1.0,0.5,completed,0.2384025793623756,2157.006057122532,208,multicomponent,True,,28.016956299999947,map_0126,0.2393021182275511,0.2224145094654521,0.2574719784506143,0.003773192670907218,True
screen_0046,direct_pareto_confirmation_reused,True,C3_v3_5_C0,300.0,5,1.1,0.4,completed,0.1920105368006129,2107.1474890027093,197,multicomponent,True,,21.545780899999954,map_0030,0.1920105115241047,0.1919533267801761,0.1920677133039191,1.3164125580415453e-07,True
screen_0039,direct_pareto_confirmation_reused,True,Otomo_2018,300.0,5,1.0,0.5,completed,0.2463973605121019,2163.3970521237284,220,multicomponent,True,,21.551223599999503,map_0126,0.2474978395518618,0.2324962781679586,0.2634673598455952,0.00446627771284853,True
screen_0046,direct_pareto_confirmation_reused,True,Otomo_2018,300.0,5,1.1,0.4,completed,0.184002123781879,2116.216248941126,186,multicomponent,True,,6.303805500001545,map_0030,0.1840021545790318,0.1839482526787073,0.1840560722740964,1.67373898557258e-07,True
