ablation,mechanisms,cases,campaigns,interval_coverage,mare_stacked,mare_equal_weight,mare_best_single,stack_minus_equal_weight,stack_minus_equal_weight_95_low,stack_minus_equal_weight_95_high,stack_minus_best_single,stack_minus_best_single_95_low,stack_minus_best_single_95_high,stacking_beats_both
none,8,68,14,0.9117647058823529,0.15473815665101928,0.1826033074772514,0.15092826197953343,-0.0278651508262321,-0.04643583379124675,-0.010938175542367735,0.0038098946714858646,-0.0005104045334682794,0.00881204608044119,False
remove:C3_consortium,7,68,14,0.9117647058823529,0.15473815687420595,0.1822475592869042,0.15092826197953343,-0.027509402412698253,-0.04741894903937019,-0.010330189319869454,0.0038098948946725083,-0.000510403981159654,0.008812046242256014,False
remove:CRECK_POLIMI,7,68,14,0.9117647058823529,0.15473815600586444,0.17913432436732213,0.15092826197953343,-0.024396168361457707,-0.038439748006717685,-0.010925927471507838,0.003809894026330987,-0.0005104029111470261,0.008812044241966762,False
remove:Galway,7,68,14,0.9117647058823529,0.1547381575772684,0.1794465355781832,0.15092826197953343,-0.0247083780009148,-0.04315644264712558,-0.008419308039128631,0.003809895597734972,-0.000510403467750126,0.008812047978321294,False
remove:Konnov,7,68,14,0.9117647058823529,0.15473815677932076,0.181922650785429,0.15092826197953343,-0.027184494006108267,-0.04391177309090022,-0.011002159161562882,0.003809894799787301,-0.0005104020211109254,0.008812046320715498,False
remove:Mei,6,68,14,0.9264705882352942,0.19194160941742927,0.1877231263502974,0.2060101959867628,0.00421848306713188,-0.016062444517497346,0.02439987318744125,-0.014068586569333519,-0.02407619302997861,-0.0025689315733559096,False
remove:Otomo,7,68,14,0.9117647058823529,0.15092826197953346,0.18794942207053844,0.15092826197953343,-0.037021160091005006,-0.058854647465927876,-0.017392631676210045,2.3023352015721593e-17,-2.06028287458973e-18,4.573623136387794e-17,False
remove:RMG,7,70,14,0.9142857142857143,0.15104368428848425,0.17960622281466418,0.14702647106746192,-0.02856253852617991,-0.04601680365612944,-0.01170668501527054,0.004017213221022326,-0.0005629342746706371,0.009318576394206498,False
