design_id,dataset_id,campaign_id,doi,laboratory,apparatus,observable,value,unit,uncertainty,uncertainty_type,temperature_K,pressure_Pa,equivalence_ratio,cracking_ratio,fuel_composition,oxidizer_composition,definition,source_location,digitized,quality_status,exclusion_reason,source_file,file_doi,experiment_type,residence_time_s,time_s,reported_value,reported_unit,curator,initial_composition
lbv_0031,x20100004:gdg1:p1:laminar burning velocity,campaign_6f2c5118f885,10.1016/j.ijhydene.2010.07.104,,outwardly propagating spherical flame; constant volume combustion chamber,laminar burning velocity,0.962,m/s,0.05743,evaluated standard deviation:absolute:m/s,298.0,101325.0,0.6,1.0,"{""H2"": 0.201278, ""NH3"": 0.0}","{""N2"": 0.63099, ""O2"": 0.167732}",Sl,"location: Main article; figure: Fig. 2 - bottom graph, phi = 0.60",False,pending_manual_review,,x20100004.xml,10.24388/x20100004,laminar burning velocity measurement,,,96.2,cm/s,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.201278, ""N2"": 0.63099, ""NH3"": 0.0, ""O2"": 0.167732}"
lbv_0034,x20100006:gdg1:p1:laminar burning velocity,campaign_6f2c5118f885,10.1016/j.ijhydene.2010.07.104,,outwardly propagating spherical flame; constant volume combustion chamber,laminar burning velocity,2.8880000000000003,m/s,0.21625,evaluated standard deviation:absolute:m/s,298.0,101325.0,1.67,1.0,"{""H2"": 0.412249, ""NH3"": 0.0}","{""N2"": 0.464323, ""O2"": 0.123428}",Sl,"location: Main article; figure: Fig. 2 - top graph, phi = 1.67",False,pending_manual_review,,x20100006.xml,10.24388/x20100006,laminar burning velocity measurement,,,288.8,cm/s,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.412249, ""N2"": 0.464323, ""NH3"": 0.0, ""O2"": 0.123428}"
lbv_0037,x20199002:gdg1:p5:laminar burning velocity,campaign_9268c5c9de04,10.1016/j.fuel.2015.06.070,,outwardly propagating spherical flame; constant volume combustion chamber,laminar burning velocity,0.054,m/s,0.00653,evaluated standard deviation:absolute:m/s,298.0,100000.0,1.2,0.0,"{""NH3"": 0.251497}","{""N2"": 0.591317, ""O2"": 0.157186}",Sl,"location: Main article; figure: Main article, Fig. 8, blue circle (0.1 MPa)",False,pending_manual_review,,x20199002.xml,10.24388/x20199002,laminar burning velocity measurement,,,5.4,cm/s,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""N2"": 0.591317, ""NH3"": 0.251497, ""O2"": 0.157186}"
lbv_0040,x20199004:gdg1:p4:laminar burning velocity,campaign_9268c5c9de04,10.1016/j.fuel.2015.06.070,,outwardly propagating spherical flame; constant volume combustion chamber,laminar burning velocity,0.045,m/s,0.005,evaluated standard deviation:absolute:m/s,298.0,500000.0,1.2,0.0,"{""NH3"": 0.251497}","{""N2"": 0.591317, ""O2"": 0.157186}",Sl,"location: Main article; figure: Main article, Fig. 8, red square (0.5 MPa)",False,pending_manual_review,,x20199004.xml,10.24388/x20199004,laminar burning velocity measurement,,,4.5,cm/s,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""N2"": 0.591317, ""NH3"": 0.251497, ""O2"": 0.157186}"
lbv_0043,x20199050:gdg1:p6:laminar burning velocity,campaign_a1e35abfc26f,10.1299/transjsme.14-00423,,flame cone method; slot burner,laminar burning velocity,0.17,m/s,0.0109,evaluated standard deviation:absolute:m/s,298.0,101325.0,1.2,0.0,"{""NH3"": 0.309392}","{""N2"": 0.497238, ""O2"": 0.19337}",Sl,"location: Main article; figure: Fig. 4., omega = 0.28 (full squares)",False,pending_manual_review,,x20199050.xml,10.24388/x20199050,laminar burning velocity measurement,,,17.0,cm/s,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""N2"": 0.497238, ""NH3"": 0.309392, ""O2"": 0.19337}"
lbv_0046,x20100023:gdg1:p15:laminar burning velocity,campaign_aacd4964efeb,10.1016/j.combustflame.2020.08.004,,heat flux burner; premixed,laminar burning velocity,0.354,m/s,0.00688,evaluated standard deviation:absolute:m/s,298.0,100000.0,1.6,0.5,"{""H2"": 0.215385, ""NH3"": 0.14359}","{""N2"": 0.50641, ""O2"": 0.134615}",Sl,"location: Main article and Supp. Mat.; table: Supp. Mat.: Table S4, P = 0.1 MPa; figure: Fig. 3. c), xNH3 = 0.4, P = 1 atm",False,pending_manual_review,,x20100023.xml,10.24388/x20100023,laminar burning velocity measurement,,,35.4,cm/s,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.215385, ""N2"": 0.50641, ""NH3"": 0.14359, ""O2"": 0.134615}"
lbv_0049,x20100024:gdg1:p1:laminar burning velocity,campaign_aacd4964efeb,10.1016/j.combustflame.2020.08.004,,heat flux burner; premixed,laminar burning velocity,0.141,m/s,0.00747,evaluated standard deviation:absolute:m/s,298.0,300000.0,0.6,0.5000012004023748,"{""H2"": 0.104132, ""NH3"": 0.069421}","{""N2"": 0.652893, ""O2"": 0.173554}",Sl,"location: Main article and Supp. Mat.; table: Supp. Mat.: Table S4, P = 0.3 MPa; figure: Fig. 3. c), xNH3 = 0.4, P = 3 atm",False,pending_manual_review,,x20100024.xml,10.24388/x20100024,laminar burning velocity measurement,,,14.1,cm/s,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.104132, ""N2"": 0.652893, ""NH3"": 0.069421, ""O2"": 0.173554}"
lbv_0052,x20100012:gdg1:p7:laminar burning velocity,campaign_b5091ed74b6b,10.1016/j.ijhydene.2015.04.024,,outwardly propagating spherical flame; constant volume combustion chamber,laminar burning velocity,0.637,m/s,0.0556,evaluated standard deviation:absolute:m/s,298.0,100000.0,1.0,0.5,"{""H2"": 0.155556, ""NH3"": 0.103704}","{""N2"": 0.585185, ""O2"": 0.155556}",Sl,location: Main article; table: Table 1 (Pi = 0.1 MPa) - inlet mixture composition; figure: Fig. 5.,False,pending_manual_review,,x20100012.xml,10.24388/x20100012,laminar burning velocity measurement,,,63.7,cm/s,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.155556, ""N2"": 0.585185, ""NH3"": 0.103704, ""O2"": 0.155556}"
lbv_0055,x20100013:gdg1:p7:laminar burning velocity,campaign_b5091ed74b6b,10.1016/j.ijhydene.2015.04.024,,outwardly propagating spherical flame; constant volume combustion chamber,laminar burning velocity,0.425,m/s,0.0077,evaluated standard deviation:absolute:m/s,298.0,300000.0,1.0,0.5,"{""H2"": 0.155556, ""NH3"": 0.103704}","{""N2"": 0.585185, ""O2"": 0.155556}",Sl,location: Main article; table: Table 1 (Pi = 0.3 MPa) - inlet mixture composition; figure: Fig. 6.,False,pending_manual_review,,x20100013.xml,10.24388/x20100013,laminar burning velocity measurement,,,42.5,cm/s,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.155556, ""N2"": 0.585185, ""NH3"": 0.103704, ""O2"": 0.155556}"
lbv_0058,x20199035:gdg1:p1:laminar burning velocity,campaign_b61f71c9265e,10.1016/j.proci.2020.06.197,,outwardly propagating spherical flame; constant volume combustion chamber,laminar burning velocity,0.0754,m/s,0.02145,evaluated standard deviation:absolute:m/s,298.0,100000.0,0.8,0.0,"{""NH3"": 0.210526}","{""N2"": 0.592105, ""O2"": 0.197368}",Sl,"location: Main article and Supp. Mat.; table: Supp. Mat., NH3-O2-N2, P = 1 bar, T = 298 K, xO2 = 25%; figure: Fig. 6. a), xO2 = 25%",False,pending_manual_review,,x20199035.xml,10.24388/x20199035,laminar burning velocity measurement,,,7.54,cm/s,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""N2"": 0.592105, ""NH3"": 0.210526, ""O2"": 0.197368}"
lbv_0061,x20100045:gdg1:p4:laminar burning velocity,campaign_b661f10f22f4,10.1016/j.fuel.2019.116653,,outwardly propagating spherical flame; constant volume combustion chamber,laminar burning velocity,0.322,m/s,0.0144,evaluated standard deviation:absolute:m/s,373.0,100000.0,1.1,0.2222212503553388,"{""H2"": 0.076218, ""NH3"": 0.177843}","{""N2"": 0.590038, ""O2"": 0.155901}",Sl,"location: Main article and Supp. Mat.; table: Supp. Mat., T = 373 K, xH2 = 0.3; figure: Fig. 4. c), T = 373 K, xH2 = 0.3",False,pending_manual_review,,x20100045.xml,10.24388/x20100045,laminar burning velocity measurement,,,32.2,cm/s,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.076218, ""N2"": 0.590038, ""NH3"": 0.177843, ""O2"": 0.155901}"
lbv_0064,x20199027:gdg1:p1:laminar burning velocity,campaign_b661f10f22f4,10.1016/j.fuel.2019.116653,,outwardly propagating spherical flame; constant volume combustion chamber,laminar burning velocity,0.046,m/s,0.00635,evaluated standard deviation:absolute:m/s,298.0,100000.0,0.9,0.0,"{""NH3"": 0.200512}","{""N2"": 0.632395, ""O2"": 0.167093}",Sl,"location: Main article and Supp. Mat.; table: Supp. Mat., T = 298 K, xH2 = 0; figure: Fig. 4. a), T = 298 K, xH2 = 0",False,pending_manual_review,,x20199027.xml,10.24388/x20199027,laminar burning velocity measurement,,,4.6,cm/s,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""N2"": 0.632395, ""NH3"": 0.200512, ""O2"": 0.167093}"
lbv_0067,x20100022:gdg1:p19:laminar burning velocity,campaign_bc661b9f179a,10.1016/j.combustflame.2019.05.003,,heat flux burner; premixed,laminar burning velocity,0.147,m/s,0.005,evaluated standard deviation:absolute:m/s,298.0,101325.0,1.6,0.3076912658506441,"{""H2"": 0.136308, ""NH3"": 0.204463}","{""N2"": 0.520791, ""O2"": 0.138438}",Sl,"location: Main Article (figure) and Supp. Mat. (data source); figure: Fig. 6., xH2 = 0.40",False,pending_manual_review,,x20100022.xml,10.24388/x20100022,laminar burning velocity measurement,,,14.7,cm/s,"Andras Gy. Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.136308, ""N2"": 0.520791, ""NH3"": 0.204463, ""O2"": 0.138438}"
lbv_0070,x20199005:gdg1:p9:laminar burning velocity,campaign_bc661b9f179a,10.1016/j.combustflame.2019.05.003,,heat flux burner; premixed,laminar burning velocity,0.049,m/s,0.01414,evaluated standard deviation:absolute:m/s,298.0,101325.0,1.25,0.0,"{""NH3"": 0.259259}","{""N2"": 0.585185, ""O2"": 0.155556}",Sl,location: Main Article (figure) and Supp. Mat. (data source); figure: Fig. 4.,False,pending_manual_review,,x20199005.xml,10.24388/x20199005,laminar burning velocity measurement,,,4.9,cm/s,"Andras Gy. Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""N2"": 0.585185, ""NH3"": 0.259259, ""O2"": 0.155556}"
lbv_0073,x20100080:gdg1:p1:laminar burning velocity,campaign_c05311ec8444,10.1016/j.ijhydene.2021.07.063,,outwardly propagating spherical flame; constant volume combustion chamber,laminar burning velocity,0.125,m/s,0.01526,evaluated standard deviation:absolute:m/s,360.0,100000.0,1.0,0.068965834890387,"{""H2"": 0.02246, ""NH3"": 0.202139}","{""N2"": 0.612567, ""O2"": 0.162834}",Sl,"location: Main article; table: Table 2, xH2 = 10%, phi = 1, P0 = 0.1, 0.3, 0.5 MPa; figure: Fig. 10., xH2 = 10% (red circles)",False,pending_manual_review,,x20100080.xml,10.24388/x20100080,laminar burning velocity measurement,,,12.5,cm/s,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.02246, ""N2"": 0.612567, ""NH3"": 0.202139, ""O2"": 0.162834}"
lbv_0076,x20199006:gdg1:p1:laminar burning velocity,campaign_ccb03cfde00c,10.1016/j.jhazmat.2018.09.073,,outwardly propagating spherical flame; constant volume combustion chamber,laminar burning velocity,0.737,m/s,0.05976,evaluated standard deviation:absolute:m/s,298.0,50662.5,0.5,0.0,"{""NH3"": 0.4}","{""O2"": 0.6}",Sl,"location: Main article; table: Table 1, P = 0.5 atm - inlet mixture composition; figure: Fig. 7., P = 0.5 atm (triangles)",False,pending_manual_review,,x20199006.xml,10.24388/x20199006,laminar burning velocity measurement,,,73.7,cm/s,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""NH3"": 0.4, ""O2"": 0.6}"
lbv_0079,x20199008:gdg1:p1:laminar burning velocity,campaign_ccb03cfde00c,10.1016/j.jhazmat.2018.09.073,,outwardly propagating spherical flame; constant volume combustion chamber,laminar burning velocity,0.1159999999999999,m/s,0.01486,evaluated standard deviation:absolute:m/s,298.0,101325.0,0.2,0.0,"{""NH3"": 0.210526}","{""O2"": 0.789474}",Sl,"location: Main article; table: Table 1, P = 1.0 atm - inlet mixture composition; figure: Fig. 7., P = 1.0 atm (circles)",False,pending_manual_review,,x20199008.xml,10.24388/x20199008,laminar burning velocity measurement,,,11.6,cm/s,"Andras Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""NH3"": 0.210526, ""O2"": 0.789474}"
