design_id,dataset_id,campaign_id,doi,mechanism_id,experimental_m_per_s,temperature_K,pressure_Pa,equivalence_ratio,cracking_ratio,apparatus,status,simulated_m_per_s,relative_error,converged,failure_reason,grid_points,transport_model,soret_enabled,runtime_s
lbv_0002,x20199021:gdg1:p2:laminar burning velocity,campaign_0ddb81cb8c2a,10.1016/j.fuel.2020.118425,RMG_2026_Burke,0.657,333.0,100000.0,0.7,0.0,outwardly propagating spherical flame; constant volume combustion chamber,completed,0.6693781022754808,0.0188403383188443,True,,203,multicomponent,True,78.77808650000043
lbv_0006,x20100007:gdg1:p1:laminar burning velocity,campaign_11f336e77db5,10.1016/j.ijhydene.2009.11.071,RMG_2026_Burke,0.07,298.0,101325.0,0.6,0.222222745445213,outwardly propagating spherical flame; constant volume combustion chamber,completed,0.0653183584175607,0.0668805940348462,True,,187,multicomponent,True,145.2313353999998
lbv_0010,x20100011:gdg1:p1:laminar burning velocity,campaign_11f336e77db5,10.1016/j.ijhydene.2009.11.071,RMG_2026_Burke,0.206,298.0,101325.0,1.67,0.4,outwardly propagating spherical flame; constant volume combustion chamber,completed,0.2216412371627579,0.0759283357415435,True,,166,multicomponent,True,48.143089499999405
lbv_0014,x20100082:gdg1:p7:laminar burning velocity,campaign_16f8038c5740,10.1016/j.ijhydene.2021.09.188,RMG_2026_Burke,0.447,368.0,101325.0,1.3,0.2222219974674633,flame cone method; modified Bunsen burner,completed,0.5162141544420294,0.1548415088188578,True,,185,multicomponent,True,61.63543480000044
lbv_0018,x20100076:gdg1:p1:laminar burning velocity,campaign_56edf2653b54,10.1016/j.combustflame.2021.111472,RMG_2026_Burke,0.0943,298.0,101325.0,1.0,0.0999995328579903,outwardly propagating spherical flame; constant volume combustion chamber,failed,,,False,TimeoutError: exceeded 300 s,0,multicomponent,True,300.0
lbv_0022,x20199012:gdg1:p1:laminar burning velocity,campaign_5d95bed2df87,10.1016/j.combustflame.2019.08.033,RMG_2026_Burke,0.093,298.0,101325.0,0.6,0.0,outwardly propagating spherical flame; constant volume combustion chamber,failed,,,False,TimeoutError: exceeded 300 s,0,multicomponent,True,300.0
lbv_0026,x20100070:gdg1:p1:laminar burning velocity,campaign_629a30b39091,10.1016/j.combustflame.2021.111753,RMG_2026_Burke,0.2056,298.0,100000.0,0.8,0.3076940363493357,outwardly propagating spherical flame; constant volume combustion chamber,failed,,,False,RuntimeError: bad allocation,24,multicomponent,True,158.5700848000015
