design_id,design_role,inside_all_idt_convex_hull,inside_exact_criterion_convex_hull,mechanism_id,temperature_K,pressure_bar,equivalence_ratio,cracking_ratio,criterion,reactor,status,ignition_delay_s,final_temperature_K,max_temperature_K,integration_steps,converged,failure_reason,runtime_s
map_0034,training,True,False,POLIMI_2023,1800,10,1.0,0.0,max_dTdt,constant_volume,completed,4.087374973878313e-05,3165.7803885941,3165.7803886704187,1924,True,,0.20080120000056922
map_0035,training,True,False,POLIMI_2023,1200,5,1.1,0.3,max_dTdt,constant_volume,completed,0.00010871055617281765,2935.5519601795295,2935.551960252823,1912,True,,0.1560535999997228
map_0036,training,True,False,POLIMI_2023,1400,10,0.8,0.3,max_dTdt,constant_volume,completed,1.7375802507315973e-05,2938.3727606740595,2938.372760729429,1882,True,,0.1486774000004516
map_0037,training,True,False,POLIMI_2023,1800,5,1.1,0.2,max_dTdt,constant_volume,completed,1.1406517850091165e-05,3126.905169286237,3126.9051692971534,1554,True,,0.15651119999893126
map_0038,training,True,False,POLIMI_2023,1600,5,0.7,0.05,max_dTdt,constant_volume,completed,9.51126900678989e-05,2883.153070147427,2883.1530701574034,1864,True,,0.2064688999998907
map_0039,training,True,False,POLIMI_2023,1600,5,1.0,0.0,max_dTdt,constant_volume,completed,0.0003364113677514295,3033.4266016781276,3033.4266017160908,2083,True,,0.18411079999714275
map_0040,training,True,False,POLIMI_2023,1800,20,0.7,0.05,max_dTdt,constant_volume,completed,1.2117345253333509e-05,3063.7290342010647,3065.7248256924377,1756,True,,0.129200999999739
map_0041,training,True,False,POLIMI_2023,1800,20,1.2,0.1,max_dTdt,constant_volume,completed,7.636265816215013e-06,3249.7003931820554,3249.7003932131115,1771,True,,0.11625030000141123
map_0042,training,True,False,POLIMI_2023,1200,5,0.9,0.4,max_dTdt,constant_volume,completed,6.0918184327621236e-05,2892.047673232269,2892.0476732468264,1802,True,,0.14976150000074995
map_0043,training,True,False,POLIMI_2023,1600,5,0.9,0.2,max_dTdt,constant_volume,completed,2.062193031763426e-05,3020.535339989162,3020.5353400346635,1625,True,,0.17329889999746229
map_0044,training,True,False,POLIMI_2023,1600,5,1.4,0.0,max_dTdt,constant_volume,completed,0.000362390124436641,3002.6108120411172,3055.407799127335,2179,True,,0.22505830000227434
map_0045,training,True,False,POLIMI_2023,1600,20,0.9,0.1,max_dTdt,constant_volume,completed,1.990962409782139e-05,3118.812164539797,3118.8121645784245,1906,True,,0.21065100000123493
map_0046,training,True,False,POLIMI_2023,1600,20,1.4,0.1,max_dTdt,constant_volume,completed,2.05003135904962e-05,3111.4221435339336,3111.422143572093,2023,True,,0.1943351999980223
map_0047,training,True,False,POLIMI_2023,1800,10,1.0,0.3,max_dTdt,constant_volume,completed,3.575908545779944e-06,3190.2875364548463,3190.287536496678,1442,True,,0.138966899998195
map_0048,training,True,False,POLIMI_2023,1600,10,0.6,0.0,max_dTdt,constant_volume,completed,0.00018349977808600388,2812.0739187762997,2814.650965114563,2226,True,,0.18010950000098092
map_0049,training,True,False,POLIMI_2023,1800,10,0.8,0.1,max_dTdt,constant_volume,completed,1.2072640513259809e-05,3094.6063481544356,3094.6063482003756,1813,True,,0.16161590000047
map_0050,training,True,False,POLIMI_2023,1400,10,1.4,0.2,max_dTdt,constant_volume,completed,3.744094675659512e-05,2983.7709896861356,2991.2213510557826,2016,True,,0.19563230000130716
map_0051,training,True,False,POLIMI_2023,1400,20,1.0,0.2,max_dTdt,constant_volume,completed,2.799421312516853e-05,3086.03256099028,3086.0325610078444,2091,True,,0.19139759999961825
map_0052,training,True,False,POLIMI_2023,1600,10,1.2,0.3,max_dTdt,constant_volume,completed,7.166440411801166e-06,3133.1541727819576,3133.1541728649145,1775,True,,0.15229009999893606
map_0053,training,True,False,POLIMI_2023,1800,10,1.4,0.2,max_dTdt,constant_volume,completed,6.7585478371476035e-06,3168.1246116668576,3197.112500774768,1714,True,,0.15843800000220654
map_0054,training,True,False,POLIMI_2023,1600,5,1.3,0.4,max_dTdt,constant_volume,completed,8.387857657373189e-06,3072.5565893340795,3072.556589386888,1543,True,,0.09387579999747686
map_0055,training,True,False,POLIMI_2023,1200,10,1.2,0.4,max_dTdt,constant_volume,completed,6.501264563961277e-05,2983.4717749050224,2983.4717749418664,1903,True,,0.18930449999970733
map_0056,training,True,False,POLIMI_2023,1600,20,1.2,0.2,max_dTdt,constant_volume,completed,8.133357546930978e-06,3177.402373605613,3177.4023736524628,1858,True,,0.15002979999917443
map_0057,training,True,False,POLIMI_2023,1400,5,1.2,0.3,max_dTdt,constant_volume,completed,2.8116405408074122e-05,3002.5911137274857,3002.591113738117,1645,True,,0.14751869999963674
map_0058,training,True,False,POLIMI_2023,1600,10,1.1,0.0,max_dTdt,constant_volume,completed,0.00019026477183230702,3104.185346619422,3104.185346683505,2185,True,,0.2134409999998752
map_0059,training,True,False,POLIMI_2023,1800,10,1.4,0.0,max_dTdt,constant_volume,completed,4.411563396163346e-05,3143.723793680904,3183.379630545784,1963,True,,0.17953850000048988
map_0060,training,True,False,POLIMI_2023,1400,5,1.0,0.5,max_dTdt,constant_volume,completed,1.1313089385023178e-05,3013.810995834807,3013.810995847185,1632,True,,0.1400857000007818
map_0061,training,True,False,POLIMI_2023,1400,10,0.8,0.1,max_dTdt,constant_volume,completed,0.00011246595946438578,2913.419651778844,2913.419651781738,2184,True,,0.21080799999981537
map_0062,training,True,False,POLIMI_2023,1600,5,0.9,0.4,max_dTdt,constant_volume,completed,7.533682058892079e-06,3037.9308614895317,3037.9308615285127,1566,True,,0.1613985000003595
map_0063,training,True,False,POLIMI_2023,1800,10,1.2,0.0,max_dTdt,constant_volume,completed,4.246533555202515e-05,3176.5813218927474,3181.647630674237,1959,True,,0.20238080000126502
map_0064,training,True,False,POLIMI_2023,1600,5,1.2,0.05,max_dTdt,constant_volume,completed,0.00010403915328380073,3046.8760282822495,3058.6957797858827,2002,True,,0.15734239999801503
map_0065,training,True,False,POLIMI_2023,1600,5,0.7,0.2,max_dTdt,constant_volume,completed,1.9931261330915813e-05,2898.063072776615,2898.0630727893977,1761,True,,0.1406014000021969
map_0066,training,True,False,POLIMI_2023,1200,10,1.0,0.5,max_dTdt,constant_volume,completed,4.108369423171623e-05,2995.212770515423,2995.212770519216,1816,True,,0.14271689999804948
map_0067,training,True,False,POLIMI_2023,1400,10,1.0,0.3,max_dTdt,constant_volume,completed,1.7541413258055713e-05,3047.606616811433,3047.6066168582865,1881,True,,0.15989339999941876
map_0068,training,True,False,POLIMI_2023,1600,5,1.1,0.2,max_dTdt,constant_volume,completed,2.1660209958389026e-05,3064.024595580096,3064.024595632919,1602,True,,0.16809600000124192
map_0069,training,True,False,POLIMI_2023,1400,10,0.7,0.2,max_dTdt,constant_volume,completed,3.669919221289043e-05,2831.8614706891863,2831.8614707268316,1826,True,,0.2086496999982046
map_0070,training,True,False,POLIMI_2023,1800,5,0.7,0.2,max_dTdt,constant_volume,completed,1.0296288452211812e-05,2984.8156295678796,2984.815629612451,1523,True,,0.1566424000011466
map_0071,training,True,False,POLIMI_2023,1800,5,1.0,0.3,max_dTdt,constant_volume,completed,6.631904246428013e-06,3121.6543017491404,3121.6543018853877,1480,True,,0.15837809999720776
map_0072,training,True,False,POLIMI_2023,1400,10,1.1,0.4,max_dTdt,constant_volume,completed,1.0523362169153917e-05,3073.681287830318,3073.6812878536316,1718,True,,0.18138619999808725
