design_id,design_role,inside_experimental_convex_hull,mechanism_id,temperature_K,pressure_bar,equivalence_ratio,cracking_ratio,status,laminar_burning_velocity_m_per_s,max_temperature_K,grid_points,transport_model,soret_enabled,failure_reason,runtime_s
map_0045,training,True,POLIMI_2023,300,1,1.2,0.7,completed,1.0911151826511696,2059.463584954297,190,multicomponent,True,,4.278935400001501
map_0046,training,True,POLIMI_2023,450,5,1.2,0.2,completed,0.24568528488982802,2121.214659562065,176,multicomponent,True,,5.305431999997381
map_0047,training,True,POLIMI_2023,300,5,0.8,0.2,completed,0.06299861486726299,1890.721557715207,191,multicomponent,True,,15.111525600001187
map_0048,training,True,POLIMI_2023,450,1,1.0,0.2,completed,0.38101392113902605,2176.597920507953,174,multicomponent,True,,3.9436070999981894
map_0049,training,True,POLIMI_2023,300,1,1.0,0.1,completed,0.11612016233236475,2074.5503065201133,180,multicomponent,True,,3.5088493000002927
map_0050,training,True,POLIMI_2023,450,1,0.9,0.1,completed,0.22033789707936954,2080.9281397622153,179,multicomponent,True,,6.930226000000403
map_0051,training,True,POLIMI_2023,300,1,0.7,0.1,completed,0.05723861260458525,1737.5505271193185,171,multicomponent,True,,9.944406800001161
map_0052,training,True,POLIMI_2023,300,1,0.7,0.3,completed,0.1485087891314595,1758.9988738862348,173,multicomponent,True,,9.64653769999859
map_0053,training,True,POLIMI_2023,300,1,0.9,0.3,completed,0.24262429902697263,2010.877514690274,169,multicomponent,True,,8.027818800001114
map_0054,training,True,POLIMI_2023,300,5,0.9,0.3,completed,0.11778612107567785,2026.9944521644584,198,multicomponent,True,,21.332805400001234
map_0055,training,True,POLIMI_2023,300,1,0.9,0.5,completed,0.4906274609939353,2036.7396953438288,191,multicomponent,True,,10.722533699998166
map_0056,training,True,POLIMI_2023,300,1,1.3,0.1,completed,0.11416498703976524,1937.213595798758,151,multicomponent,True,,4.072423599998729
map_0057,training,True,POLIMI_2023,300,5,0.8,0.4,completed,0.13279442704768335,1916.52450425138,180,multicomponent,True,,27.800359000000753
map_0058,training,True,POLIMI_2023,450,1,1.0,0.4,completed,0.8404729777815055,2197.6830697034025,190,multicomponent,True,,8.010925799997494
