design_id,temperature_K,pressure_bar,residence_time_ms,equivalence_ratio,cracking_ratio,psr_fraction,heat_loss_W_per_K,design_role,mechanism_id,status,runtime_s,total_residence_time_s,ambient_temperature_K,psr_temperature_K,outlet_temperature_K,psr_steps,pfr_steps,converged,failure_reason,steady_mass_flow_kg_per_s,fuel_heat_input_W,X_NO,X_NO2,X_N2O,X_NH3,X_H2,X_O2,X_H2O,X_dry_NO,X_dry_NO2,X_dry_N2O,X_dry_NH3,X_dry_H2,X_dry_O2,Y_NO,Y_NO2,Y_N2O,Y_NH3,Y_H2,Y_O2,Y_H2O,EI_g_per_MJ_NO,EI_g_per_MJ_NO2,EI_g_per_MJ_N2O,EI_g_per_MJ_NH3,X_dry_O2corr15_NO,X_dry_O2corr15_NO2,X_dry_O2corr15_N2O,X_dry_O2corr15_NH3
reactor_0001,750,10,10,1.0,0.3,0.5,0.0,primary_map,MEI_2021,completed,0.13384989999940444,0.01,300.0,2431.7964048653803,2443.152483277549,660,532,True,,0.2433737473339739,670862.6616565197,0.0029869146238768536,9.058340736433779e-07,3.177864630415991e-07,9.638429148367414e-08,0.009218358831587174,0.002154489836999445,0.2977131541318736,0.004253126256671663,1.2898348858060102e-06,4.525023712337511e-07,1.372434811370124e-07,0.013126201759043303,0.00306782029262728,0.0036213985931924935,1.6838333327272704e-06,5.651474594031342e-07,6.632722423065626e-08,0.0007509128764732649,0.0027855611600434735,0.2167093775869812,1.3137612161019172,0.0006108565157878872,0.00020502267133423635,2.4062011547067424e-05,0.0012185295639574308,3.6954039126226994e-07,1.2964287534239845e-07,3.932054426165932e-08
reactor_0002,750,20,20,0.6,0.7,0.5,0.0,primary_map,MEI_2021,completed,0.10329230000024836,0.02,300.0,2063.733195746773,2064.8051819569027,530,421,True,,0.30502539314035293,564294.474058511,0.005391160609303052,2.1059241334634066e-05,1.1032854274852225e-06,2.331263611216714e-10,8.429119084193928e-05,0.06630460290317461,0.20735094471306656,0.006801447088524555,2.656817817944761e-05,1.3918964769166865e-06,2.9411043836705425e-10,0.00010634112319912683,0.0836493810986412,0.00617539388013194,3.6984695251634716e-05,1.8537157575950546e-06,1.5156740731336666e-10,6.48704641290565e-06,0.0809917532648387,0.14259837379286197,3.33806555385205,0.019991815847794893,0.0010020129626012782,8.192869171749135e-08,0.003201303525583142,1.2505103894388647e-05,6.551375083573225e-07,1.384318323734108e-10
reactor_0003,750,5,5,0.6,0.7,0.5,0.0,primary_map,MEI_2021,completed,0.10632299999997485,0.005,300.0,2041.1942930183454,2054.376535596683,690,567,True,,0.3054557416099795,565090.6151955804,0.00857211459601968,1.6797666091720584e-05,5.406001501591833e-07,1.7286837344310274e-10,0.00015827302882880746,0.06458442158165227,0.2069618882382407,0.010809208875190697,2.118141088377712e-05,6.816824338469975e-07,2.1798242843470684e-10,0.00019957808645185905,0.08143924059106811,0.00982110407630761,2.9506535450143905e-05,9.084925577863433e-07,1.1241387919564745e-10,1.2183208632128526e-05,0.0789068758290869,0.1423602967771,5.308728455911536,0.015949549374741318,0.0004910792367162728,6.076452857932667e-08,0.004999525924675515,9.796925386251228e-06,3.1529495264322383e-07,1.008222539379706e-10
reactor_0004,750,5,20,1.4,0.7,0.5,0.0,primary_map,MEI_2021,completed,0.1079014000006282,0.02,300.0,2355.233266002523,2366.3349215643284,610,567,True,,0.057241950040699055,220551.53300080288,0.0002553066574346142,4.3581575409724046e-09,1.517808911189059e-08,2.9412587758799895e-06,0.10636221025050903,1.1476989045412322e-05,0.26521760562901847,0.00034745886590433655,5.931222052078769e-09,2.0656577005882076e-08,4.002897726473001e-06,0.14475334611352736,1.5619575446193596e-05,0.0003399778300121268,8.897916240938152e-09,2.9646840920056653e-08,2.2230730707918334e-06,0.009516083283711441,1.6297881437729534e-05,0.21203959661104524,0.0882378539641735,2.309365389576559e-06,7.694541786768072e-06,0.0005769764368612495,9.809380512892762e-05,1.674489262602959e-09,5.831718336419039e-09,1.1300890783422352e-06
reactor_0005,750,20,5,1.4,0.7,0.5,0.0,primary_map,MEI_2021,completed,0.09624769999936689,0.005,300.0,2370.0912525706235,2375.8413173945582,570,606,True,,0.9130207049273399,3517841.652669514,0.00015412735068808875,2.7420347213256262e-09,1.7273029208809852e-08,1.2764604098906562e-05,0.10655071252091207,3.1855938765867633e-06,0.2660023386018133,0.0002099834356345124,3.735754029655005e-09,2.3532812319737622e-08,1.7390524207653964e-05,0.14516492098618464,4.340059981279163e-06,0.00020508364617626972,5.593983701745295e-09,3.3712634420851094e-08,9.640303578516969e-06,0.009525550809523506,4.520187540023713e-06,0.21250195660233598,0.053227414331976995,1.451862660971045e-06,8.749777927191667e-06,0.0025020446165596667,5.927885156080204e-05,1.0546127503934882e-09,6.643372055012997e-09,4.909388685612205e-06
reactor_0006,750,5,5,1.4,0.7,0.5,0.0,primary_map,MEI_2021,completed,0.10877280000022438,0.005,300.0,2342.102653337834,2361.8107494079877,610,556,True,,0.22896780016348448,882206.1320058634,0.000840369180701671,1.398689855934934e-08,3.9063616108693566e-08,6.753990899580308e-06,0.10691408539484229,1.0835828027121187e-05,0.26459363288157123,0.001142727637774639,1.9019278571322064e-08,5.311840888971093e-08,9.184025596684364e-06,0.14538096238378773,1.4734476762255448e-05,0.0011193619155926357,2.856398294029876e-08,7.63212931074663e-08,5.106142431405148e-06,0.009567924897525953,1.539136873221403e-05,0.2115952725608016,0.29051921779016426,7.413496801339438e-06,1.9808430200678907e-05,0.0013252483262409384,0.0003226109288609486,5.369457185885805e-09,1.4996206151885223e-08,2.592802458334684e-06
reactor_0007,750,5,20,0.6,0.7,0.5,0.0,primary_map,MEI_2021,completed,0.10655289999886008,0.02,300.0,2052.3702039744726,2057.5925997565423,590,501,True,,0.07636393540249488,141272.6537988951,0.007098624241962641,1.3917494747825444e-05,5.426880410444444e-07,1.69030935078545e-10,0.00016103070077503153,0.06531349703906107,0.20693722326357225,0.008950898277150952,1.754904549309201e-05,6.842939259836239e-07,2.1313689160161145e-10,0.0002030491223377007,0.08235602395542495,0.008133036497968848,2.4447616794326647e-05,9.12014307713103e-07,1.0992001307733668e-10,1.2395659533015038e-05,0.07979877050837034,0.14234535905322102,4.396255446868966,0.01321498661931068,0.0004929828937700551,5.94164868597151e-08,0.004169981193310205,8.17562521669408e-06,3.187940152702056e-07,9.929470786726569e-11
reactor_0008,750,20,5,0.6,0.7,0.5,0.0,primary_map,MEI_2021,completed,0.11638499999935448,0.005,300.0,2060.4574102362867,2063.74254256739,570,506,True,,1.2201015725614117,2257177.896234044,0.005869167968000317,2.2923452434141428e-05,1.1007762170943376e-06,2.3439076302234805e-10,8.381085543445804e-05,0.0660662631691602,0.20735674875604782,0.007404551743535832,2.8920264441999603e-05,1.388741045062593e-06,2.95707763428884e-10,0.0001057359099480474,0.08334930382044842,0.006722909523361203,4.0258508779037075e-05,1.8494927474758204e-06,1.5238887564648963e-10,6.450055093242272e-06,0.08070030945371388,0.142601818631809,3.634021268472751,0.021761452631727973,0.0009997302443024605,8.237273062409458e-08,0.0034768494417598793,1.3579674876132199e-05,6.520912669008134e-07,1.3885126444005683e-10
reactor_0009,750,20,20,1.4,0.7,0.5,0.0,primary_map,MEI_2021,completed,0.10270069999933185,0.02,300.0,2372.7292434977676,2376.519331378596,550,617,True,,0.22825517623151315,879460.4131661385,6.853823940850786e-05,1.223910524429915e-09,1.3518802804195541e-08,6.6935255748507796e-06,0.10647790437991482,3.214193010664681e-06,0.2660945600984153,9.338837905016577e-05,1.6676678736623603e-09,1.84203605385571e-08,9.120419622108766e-06,0.14508395576709895,4.379573765110255e-06,9.119468116784988e-05,2.496796601503344e-09,2.6384426892693883e-08,5.055027659041788e-06,0.009518718490107526,4.560613270349631e-06,0.21256840937723104,0.023668669686229472,6.480186484331593e-07,6.847814773695369e-06,0.001311981997024562,2.636377907212897e-05,4.707869205364852e-10,5.2001150529298106e-09,2.5747178654125986e-06
reactor_0010,750,20,20,0.6,0.0,0.5,0.0,primary_map,MEI_2021,completed,0.09054520000063349,0.02,300.0,1939.50300800142,1940.7897869969677,550,546,True,,0.3245402135105076,545552.1403775691,0.0040849579976667515,1.9754613971021194e-05,7.95581490571658e-07,6.977296284946377e-11,3.2908651689254445e-05,0.06714733288474618,0.20780908830609773,0.005156532266864927,2.4936683417360707e-05,1.0042800022415125e-06,8.807594459809154e-11,4.154131435172302e-05,0.0847615541829032,0.0046781314091802915,3.468568687618789e-05,1.336418131238828e-06,4.535279229084362e-11,2.532079478773138e-06,0.08200273128645853,0.14288134185458878,2.782945302560502,0.020633958500769302,0.0007950136999763033,2.697964833055445e-08,0.0024488023956201485,1.1842262770980486e-05,4.76925799759927e-07,4.1826672066854673e-11
