design_id,temperature_K,pressure_bar,residence_time_ms,equivalence_ratio,cracking_ratio,psr_fraction,heat_loss_W_per_K,design_role,mechanism_id,status,runtime_s,total_residence_time_s,ambient_temperature_K,psr_temperature_K,outlet_temperature_K,psr_steps,pfr_steps,converged,failure_reason,steady_mass_flow_kg_per_s,fuel_heat_input_W,X_NO,X_NO2,X_N2O,X_NH3,X_H2,X_O2,X_H2O,X_dry_NO,X_dry_NO2,X_dry_N2O,X_dry_NH3,X_dry_H2,X_dry_O2,Y_NO,Y_NO2,Y_N2O,Y_NH3,Y_H2,Y_O2,Y_H2O,EI_g_per_MJ_NO,EI_g_per_MJ_NO2,EI_g_per_MJ_N2O,EI_g_per_MJ_NH3,X_dry_O2corr15_NO,X_dry_O2corr15_NO2,X_dry_O2corr15_N2O,X_dry_O2corr15_NH3,EI_g_per_MJ_NOx_NO2eq
reactor_0027,750,5,5,1.0,0.3,0.5,0.0,primary_map,C3_v3_5_C0,completed,0.094472499999938,0.005,300.0,2385.7352195273165,2411.950192639869,650,546,True,,0.2449202649456006,674588.0179305885,0.0065546640268965,1.2932052325130988e-06,2.2036159963220517e-07,1.625554194921455e-07,0.0119988171448944,0.0017862708794221,0.2942643752220836,0.0092877046258777,1.832421642197884e-06,3.1224383734567657e-07,2.303347227841857e-07,0.0170018583781573,0.0025310765344803,0.0079598403928445,2.407788339455775e-06,3.925208284765455e-07,1.120436945280816e-07,0.0009789821684093,0.0023132148464523,0.2145446914328549,2.8899508531454177,0.0008741871221512,0.0001425111368002,4.067930443455535e-05,0.0026540293024693,5.236278422681367e-07,8.92259527205384e-08,6.58198261325097e-08,4.43176103927493
reactor_0031,750,5,20,1.0,0.3,0.5,0.0,primary_map,C3_v3_5_C0,completed,0.1004243000006681,0.02,300.0,2401.1569901788043,2424.376682982656,650,584,True,,0.0612300662364001,168647.00448264708,0.0032973169596671,7.703817349295547e-07,1.992638899471509e-07,7.357040656919663e-08,0.0106769917462769,0.0025786362918398,0.2954371783092895,0.0046799474200961,1.0934180902150091e-06,2.828191948433861e-07,1.0441993858354993e-07,0.0151540663480593,0.0036599096808032,0.0040022272823915,1.4336527079880733e-06,3.547664341799263e-07,5.068462665965448e-08,0.0008707076929748,0.0033376890316556,0.2152942148283667,1.4530743806906958,0.0005205111738532,0.0001288037835591,1.8401886574019665e-05,0.001344680901603,3.141698594872708e-07,8.12619321917178e-08,3.0002793740144216e-08,2.228381293510305
reactor_0185,600,5,5,1.0,0.3,0.5,0.0,thermal_residence_sensitivity,C3_v3_5_C0,completed,0.106058700000176,0.005,300.0,2289.4984216663806,2316.95792918562,660,581,True,,0.2550367371729026,702451.9880670785,0.0063437378569835,1.066928071414455e-06,1.670680883666126e-07,1.5981370375449016e-07,0.009584248422308,0.001029573984746,0.2982328177652923,0.0090396616108244,1.52034477875829e-06,2.380676848333103e-07,2.2773037525861409e-07,0.0136573049651423,0.0014671161758625,0.007688845360231,1.9826587452628308e-06,2.970176572970773e-07,1.0994157611492685e-07,0.0007804703033925,0.0013307246064854,0.217018866821357,2.7915616534821064,0.0007198368371204,0.0001078371411663,3.99160958020091e-05,0.002569906152755,4.322223075874127e-07,6.768080868122965e-08,6.474199120966256e-08,4.280755884483134
reactor_0186,600,5,5,1.0,0.3,0.5,0.5,thermal_residence_sensitivity,C3_v3_5_C0,completed,0.1091830000004847,0.005,300.0,2287.561253813746,2313.1296810713598,720,586,True,,0.2550367371729026,702451.9880670785,0.0063398074183335,1.0580771669757191e-06,1.6531810246520373e-07,1.5987622281104382e-07,0.009506347337956,0.0010041872611058,0.2983609739311366,0.0090357109322355,1.508007861113291e-06,2.3561702859010917e-07,2.278610750983976e-07,0.0135487722101465,0.0014312021193178,0.0076836084086139,1.966090162097877e-06,2.9388839433005204e-07,1.0997781338666874e-07,0.0007740789517416,0.0012978323471054,0.2170987561014373,2.789660292142348,0.0007138213407423,0.0001067010108251,3.992925233897689e-05,0.0025683385482067,4.2864083963539e-07,6.697251623920592e-08,6.476793992194063e-08,4.277834692435446
reactor_0187,600,5,5,1.0,0.3,0.5,2.0,thermal_residence_sensitivity,C3_v3_5_C0,completed,0.1049870999995619,0.005,300.0,2281.754768560079,2301.665456642805,730,586,True,,0.2550367371729026,702451.9880670785,0.0063254562608528,1.0311752998679922e-06,1.601679181444854e-07,1.599947416966673e-07,0.0092782401619796,0.0009309687510403,0.2987349682544734,0.0090200651315923,1.4704501909945265e-06,2.2839855246426537e-07,2.281516038214861e-07,0.0132307184045454,0.0013275562146925,0.0076648408138793,1.9157582939199906e-06,2.84681784980464e-07,1.1003960842386849e-07,0.0007553692742888,0.0012029875021597,0.2173319145558734,2.782846408479105,0.0006955475289317,0.000103358400015,3.995168804266715e-05,0.0025626117411808,4.1775673116442106e-07,6.488831329650404e-08,6.481815487943915e-08,4.267369338700909
reactor_0188,600,5,20,1.0,0.3,0.5,0.0,thermal_residence_sensitivity,C3_v3_5_C0,completed,0.1001624000000447,0.02,300.0,2309.1205070751253,2328.20813617829,650,540,True,,0.0637591842932256,175612.99701676963,0.0038458046192673,7.812073346770132e-07,1.446088468844788e-07,8.380167502301343e-08,0.0083489474966179,0.0015454434181723,0.2994258801830989,0.0054895042658333,1.115095908597346e-06,2.064147715337717e-07,1.1961857090141366e-07,0.0119172936316859,0.0022059670411123,0.0046588749616609,1.4509654800052252e-06,2.569576595237231e-07,5.7620706815349874e-08,0.0006795289922633,0.0019964648868379,0.2177756578638657,1.691481110884245,0.0005267968602228,9.329270069666032e-05,2.092014445032786e-05,0.0015661996966254,3.181458268688205e-07,5.889179366656924e-08,3.412813988006362e-08,2.59391394969865
reactor_0189,600,5,20,1.0,0.3,0.5,0.5,thermal_residence_sensitivity,C3_v3_5_C0,completed,0.1500691000001097,0.02,300.0,2301.678436408351,2312.7108621546317,750,537,True,,0.0637591842932256,175612.99701676963,0.0039137738389739,7.7387440353782e-07,1.3720123628777258e-07,8.519997864647298e-08,0.0080358411149602,0.0014081689462045,0.2999537073339167,0.0055907357555863,1.105461755379872e-06,1.959888049192434e-07,1.217062064881368e-07,0.0114790138868619,0.0020115368954267,0.0047400109661348,1.4369810232392748e-06,2.4373309990917053e-07,5.856729288744552e-08,0.0006538789922119,0.0018186666895106,0.2181041936022444,1.720938870560022,0.0005217195733971,8.849130701860305e-05,2.1263818078393e-05,0.0015935835487263,3.1510086402478055e-07,5.5864656980391284e-08,3.4691142081538656e-08,2.6390736543316327
reactor_0190,600,5,20,1.0,0.3,0.5,2.0,thermal_residence_sensitivity,C3_v3_5_C0,completed,0.1433665000004111,0.02,300.0,2279.3925277069075,2266.483854732155,780,529,True,,0.0637591842932256,175612.99701676963,0.0040781160590555,7.378133114961956e-07,1.1708085058799529e-07,8.88658990401197e-08,0.0071928697951976,0.0010457755039136,0.3013628622069134,0.0058372448850025,1.0560751376986085e-06,1.6758463622165879e-07,1.271989337996499e-07,0.0102955732040227,0.0014968793488664,0.0049357282246711,1.369099694399541e-06,2.0785017417531538e-07,6.104622877878547e-08,0.0005848928045519,0.0013497236288073,0.2189815625971298,1.791997237357283,0.0004970741415151,7.546342119175547e-05,2.2163836488374028e-05,0.0016597217773614,3.0027708946591933e-07,4.7649854643397385e-08,3.6166863759108216e-08,2.7479960461252273
reactor_0197,750,5,5,1.0,0.3,0.5,0.5,thermal_residence_sensitivity,C3_v3_5_C0,completed,0.1188286999995398,0.005,300.0,2383.7958864342613,2407.9929471300384,720,557,True,,0.2449202649456006,674588.0179305883,0.0065709600742812,1.2875799114791628e-06,2.182945142067848e-07,1.6316592143774318e-07,0.0118997350155116,0.0017459641251749,0.2944377367798272,0.0093130832200286,1.82489906078972e-06,3.093908583070937e-07,2.31256587750395e-07,0.0168656058236468,0.0024745712975158,0.0079789430478885,2.39710831956281e-06,3.888053440575853e-07,1.1245481065699969e-07,0.0009708144908916,0.0022608230993392,0.2146526078423653,2.896886385959794,0.0008703095654317,0.000141162169128,4.082856690074458e-05,0.0026605532957069,5.213355336581777e-07,8.838650404844292e-08,6.606517542655118e-08,4.442390754717361
reactor_0198,750,5,5,1.0,0.3,0.5,2.0,thermal_residence_sensitivity,C3_v3_5_C0,completed,0.1165060000002995,0.005,300.0,2377.9778175271726,2396.126919277835,750,544,True,,0.2449202649456006,674588.0179305883,0.0066160772618182,1.269542951799486e-06,2.1221965832649764e-07,1.649425046993851e-07,0.0116091938600305,0.0016288007542613,0.2949445410472734,0.0093837685784967,1.8006284976294438e-06,3.009971139599769e-07,2.339425964368632e-07,0.0164656463723784,0.002310173949551,0.0080317112108674,2.362935380848007e-06,3.778905174948903e-07,1.1365070798525377e-07,0.0009468735881747,0.0021085806036569,0.2149681110766501,2.916044734631817,0.0008579025184911,0.0001371993619886,4.126275707711659e-05,0.0026786144084139,5.139927948568054e-07,8.592019289475845e-08,6.677935461809322e-08,4.471752022017661
