mechanism_id,"(1358.06, 1482.067]","(1482.067, 1605.333]","(1605.333, 1728.6]","(1728.6, 1851.867]","(1851.867, 1975.133]","(1975.133, 2098.4]"
C3_v3_5_C0,0.24567215974609993,0.10465264266273332,0.13895802222049902,0.0842575755862971,0.1050307480585492,0.10835781199564697
KAUST_2023,0.23591856862054442,0.18688062539369643,0.17670244823500406,0.21370672012271055,0.2700207394812673,0.3353284269716673
Konnov_2026,0.043865782786367866,0.07869916622773805,0.14724114609558972,0.10815342369556269,0.1069948065683145,0.13185661630470755
MEI_2019,0.2388506213635227,0.0937697976786316,0.14324485413396906,0.12994843643453927,0.059915510753761295,0.07093616587005203
MEI_2021,0.16887032403923152,0.12000943205189431,0.13447081352096643,0.1740517609837078,0.230527181605694,0.27682021571959314
NUIGMech1.1_HT,0.13923066540111345,0.13761668480767036,0.24115986201220468,0.2052854903386733,0.0890894181258998,0.07041978819542391
NUIG_2024,0.27494553206948275,0.11422161940551286,0.1439230703207848,0.08503376735642564,0.10042995494780892,0.10379520104029244
Otomo_2018,0.10554849411729547,0.15582214093488314,0.2695802817381895,0.2475518208365746,0.13862879305074935,0.1472395589241906
POLIMI_2023,0.22240230463459754,0.0899649272376245,0.1128311773001677,0.09389740142348985,0.16708313885834578,0.22409847100668967
RMG_2026_Burke,0.13513521192296735,0.08081177681692799,0.1491145219324287,0.10714508306893343,0.0990921388350101,0.12907859641832903
Shrestha_2018,0.31485485886180437,0.08673770774815566,0.08922454415038412,0.10275064485854525,0.01846365013124731,0.07207032157359318
