method,n,campaigns,mean_absolute_relative_error,cluster_bootstrap_95_low,cluster_bootstrap_95_high,root_mean_squared_relative_error,mean_signed_relative_bias,median_absolute_relative_error
stacked,68,14,0.1545582799461669,0.1061786510172218,0.2130647999805046,0.2418775367795346,0.0377763965837427,0.0844009970068716
equal_weight,68,14,0.1826033074772514,0.1221097487471882,0.255033317619382,0.2797754359969797,0.067413296454148,0.1184782837799428
best_single,68,14,0.1509282619795334,0.1040122391110833,0.2092551496192844,0.2381672740065865,0.0421411455887448,0.0922027036180708
