design_id,pressure_bar,equivalence_ratio,cracking_ratio,support_tier,screening_pareto,exploratory_extrapolative_pareto,reactivity_improved
screen_0112,10,1.0,0.7,extrapolative,False,True,True
screen_0113,10,1.1,0.0,extrapolative,False,False,False
screen_0114,10,1.1,0.05,extrapolative,False,False,True
screen_0115,10,1.1,0.1,extrapolative,False,False,True
screen_0116,10,1.1,0.2,extrapolative,False,False,True
screen_0117,10,1.1,0.3,extrapolative,False,False,True
screen_0118,10,1.1,0.4,extrapolative,False,False,True
screen_0119,10,1.1,0.5,extrapolative,False,False,True
screen_0120,10,1.1,0.7,extrapolative,False,False,True
screen_0121,10,1.2,0.0,extrapolative,False,False,False
screen_0122,10,1.2,0.05,extrapolative,False,False,True
screen_0123,10,1.2,0.1,extrapolative,False,False,True
screen_0124,10,1.2,0.2,extrapolative,False,False,True
screen_0125,10,1.2,0.3,extrapolative,False,False,True
screen_0126,10,1.2,0.4,extrapolative,False,False,True
screen_0127,10,1.2,0.5,extrapolative,False,False,True
screen_0128,10,1.2,0.7,extrapolative,False,False,True
screen_0129,10,1.3,0.0,extrapolative,False,False,False
screen_0130,10,1.3,0.05,extrapolative,False,False,True
screen_0131,10,1.3,0.1,extrapolative,False,False,True
screen_0132,10,1.3,0.2,extrapolative,False,False,True
screen_0133,10,1.3,0.3,extrapolative,False,False,True
screen_0134,10,1.3,0.4,extrapolative,False,False,True
screen_0135,10,1.3,0.5,extrapolative,False,False,True
screen_0136,10,1.3,0.7,extrapolative,False,False,True
screen_0137,10,1.4,0.0,extrapolative,False,False,False
screen_0138,10,1.4,0.05,extrapolative,False,False,True
screen_0139,10,1.4,0.1,extrapolative,False,False,True
screen_0140,10,1.4,0.2,extrapolative,False,False,True
screen_0141,10,1.4,0.3,extrapolative,False,False,True
screen_0142,10,1.4,0.4,extrapolative,False,False,True
screen_0143,10,1.4,0.5,extrapolative,False,False,True
screen_0144,10,1.4,0.7,extrapolative,False,False,True
screen_0145,20,0.6,0.0,extrapolative,False,False,False
screen_0146,20,0.6,0.05,extrapolative,False,False,True
