held_out_campaign,best_single_name,stacking_success,weight_C3_v3_5_C0,weight_Konnov_2026,weight_MEI_2019,weight_MEI_2021,weight_NUIG_2024,weight_Otomo_2018,weight_POLIMI_2023,weight_RMG_2026_Burke
campaign_6f2c5118f885,MEI_2021,True,1.0036127970010394e-16,1.1283936161903568e-16,4.1300046408476497e-17,0.9128859242826132,8.14779523487014e-17,0.0871140757173862,0.0,2.15638098843206e-16
campaign_11f336e77db5,MEI_2021,True,1.6404656360723166e-17,1.0607798960433336e-16,0.0,0.8702445476216567,7.848531101808179e-18,0.129755452378343,2.8740152586069227e-17,3.144612383843124e-17
campaign_b5091ed74b6b,MEI_2021,True,0.0,8.004663773938028e-17,0.0,0.9069781228845448,1.0700369854345595e-16,0.0930218771154547,0.0,1.9820912931971924e-17
campaign_bc661b9f179a,MEI_2021,True,6.970126439917071e-17,0.0,0.0,0.9196528593570557,0.0,0.0803471406429443,0.0,0.0
campaign_aacd4964efeb,MEI_2021,True,2.530793115951986e-17,0.0,0.0,0.9124343998975382,0.0,0.0875656001024618,0.0,2.2446492084992566e-17
campaign_b661f10f22f4,MEI_2021,True,4.977412303865469e-17,0.0,1.4131731491276994e-16,0.8993217709721733,0.0,0.1006782290278264,0.0,1.4676645802396466e-16
campaign_b61f71c9265e,MEI_2021,True,2.353920879861217e-17,3.3812080123791076e-17,2.29254160470343e-16,0.8618661784806588,0.0,0.1381338215193407,0.0,1.917396304173489e-16
campaign_629a30b39091,MEI_2021,True,7.471421031804757e-17,0.0,2.1555995419467578e-17,0.9022675477740444,0.0,0.0977324522259554,1.2282017689407814e-16,0.0
campaign_c05311ec8444,MEI_2021,True,0.0,0.0,4.8087966486183444e-17,0.9999999999999996,8.724165859828701e-17,6.938893903907227e-17,0.0,1.9737395572600148e-16
campaign_16f8038c5740,MEI_2021,True,9.661790716263784e-17,2.2077488535259537e-17,2.3177506088197773e-18,0.968851894986688,2.181695775283334e-17,0.0311481050133119,2.0856490663820386e-17,2.7815502069273667e-17
campaign_9268c5c9de04,MEI_2021,True,0.0,1.6410688212119206e-16,3.877901355094695e-17,0.7371312444001579,0.0,0.2628687555998419,1.12982325286608e-17,0.0
campaign_ccb03cfde00c,MEI_2021,True,1.2586456795455773e-17,0.0,2.5267979222795844e-16,0.9988415690890412,0.0,0.0011584309109587,0.0,0.0
campaign_0ddb81cb8c2a,MEI_2021,True,0.0,2.7058324277804317e-17,0.0,0.9029135828623598,0.0,0.0970864171376401,0.0,1.0732251128896863e-16
campaign_a1e35abfc26f,MEI_2021,True,0.0,0.0,0.0,0.9212858256344116,8.056290574637242e-17,0.0787141743655882,8.695903996087956e-17,0.0
