mechanism_id,location,temperature_K,pressure_bar,target_species,absolute_rank,reaction_index,reaction_equation,production_contribution_kmol_m3_s,normalized_absolute_contribution,direction,signed_normalized_contribution
C3_v3_5_C0,pfr_outlet,2343.3574089303597,5.0,NH3,3,27,NH3 + M <=> H + NH2 + M,1.4315024402891526e-08,0.0525485409743806,production,0.0525485409743806
Otomo_2018,pfr_outlet,2349.200375993815,5.0,NH3,1,30,NH3 + OH <=> H2O + NH2,-4.66802721299335e-08,0.8602108398762972,consumption,-0.8602108398762972
Otomo_2018,pfr_outlet,2349.200375993815,5.0,NH3,2,28,H + NH3 <=> H2 + NH2,-3.579649638068682e-09,0.0659647701507589,consumption,-0.0659647701507589
Otomo_2018,pfr_outlet,2349.200375993815,5.0,NH3,3,27,NH3 + M <=> H + NH2 + M,2.493839042277076e-09,0.0459557598786543,production,0.0459557598786543
NUIG_2024,pfr_outlet,2348.28031807682,5.0,NH3,1,47,NH3 + OH <=> H2O + NH2,-6.98731399645207e-08,0.8181104125341829,consumption,-0.8181104125341829
NUIG_2024,pfr_outlet,2348.28031807682,5.0,NH3,2,45,H + NH3 <=> H2 + NH2,-8.68538624696066e-09,0.1016929385043766,consumption,-0.1016929385043766
NUIG_2024,pfr_outlet,2348.28031807682,5.0,NH3,3,44,NH3 + M <=> H + NH2 + M,3.9888063047109264e-09,0.0467029816195893,production,0.0467029816195893
MEI_2021,pfr_outlet,2351.0964928686,4.999999999999999,NH3,1,157,NH3 + OH <=> H2O + NH2,-4.2535566773340735e-08,0.5232422973823538,consumption,-0.5232422973823538
MEI_2021,pfr_outlet,2351.0964928686,4.999999999999999,NH3,2,155,H + NH3 <=> H2 + NH2,-2.5548436546164252e-08,0.3142787000858941,consumption,-0.3142787000858941
MEI_2021,pfr_outlet,2351.0964928686,4.999999999999999,NH3,3,161,NH3 <=> H + NH2,6.691155737164803e-09,0.0823098401089497,production,0.0823098401089497
RMG_2026_Burke,pfr_outlet,2355.562405997612,5.0,NH3,1,70,NH3 + OH <=> H2O + NH2,-1.1652230141054669e-07,0.8093232143077216,consumption,-0.8093232143077216
RMG_2026_Burke,pfr_outlet,2355.562405997612,5.0,NH3,2,3,H + NH2 (+M) <=> NH3 (+M),1.533101706513837e-08,0.10648389071932,production,0.10648389071932
RMG_2026_Burke,pfr_outlet,2355.562405997612,5.0,NH3,3,69,H + NH3 <=> H2 + NH2,-9.448209715984389e-09,0.0656239652343651,consumption,-0.0656239652343651
